"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","47112","604","247370","3171","247382","3171","0","12/11/2025 11:53:08 AM"
"select count(*) from ""AccessConfig"".sys.objects   ","28","952","34","52083","1860","52088","1860","0","12/11/2025 2:25:29 PM"
"select ISNULL(CAST(page_verify_option AS int), -3)","28","198","7","8613","307","8963","320","0","12/11/2025 2:25:29 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","28","3752","134","14045","501","14048","501","0","12/11/2025 2:25:29 PM"
"select ISNULL(mirroring_role,0) from sys.database_","28","56","2","1919","68","1921","68","0","12/11/2025 2:25:29 PM"
"select file_id, file_guid, size, max_size, growth,","28","56","2","5800","207","5803","207","0","12/11/2025 2:25:29 PM"
"select physical_name, 'usage' = (case type when 1 ","28","56","2","1540","55","1543","55","0","12/11/2025 2:25:29 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","28","168","6","5776","206","5778","206","0","12/11/2025 2:25:29 PM"
"select name, dbid, chsuid=substring(suser_sname(si","28","56","2","3478","124","3482","124","0","12/11/2025 2:25:29 PM"
"select top 1 substring(convert(nvarchar(22),backup","28","84","3","2410","86","2413","86","0","12/11/2025 2:25:29 PM"
"select data_space_id, reservedpages = sum(a.total_","28","34440","1230","145576","5199","151245","5401","0","12/11/2025 2:25:29 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","28","310","11","10945","390","10948","391","0","12/11/2025 2:25:29 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","28","56","2","2829","101","2834","101","0","12/11/2025 2:25:29 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","28","56","2","2261","80","2265","80","0","12/11/2025 2:25:29 PM"
