"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"acLink","2","1","NONE","9/25/2012 1:19:23 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"BillCriteria","1","0","NONE","7/30/2013 1:53:56 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Derived_Values","3","1","NONE","9/18/2013 3:51:25 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Derived_Values_Test","5","0","NONE","9/18/2013 3:51:25 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVTSER","93","0","NONE","12/15/2015 4:45:45 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Sync_log","0","1","NONE","9/19/2013 8:23:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"test1","2","1","NONE","8/30/2012 8:55:13 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"test2","1","0","NONE","8/30/2012 9:09:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"test3","0","0","NONE","8/30/2012 9:10:10 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"test4","121","0","NONE","8/30/2012 9:11:01 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"USysRibbons","6","1","NONE","8/31/2012 2:16:57 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
