"Job Name","Job Description","Job Owner","Date Created","Job Enabled","notify_email_operator_id","notify_level_email","CategoryName","Sched Enabled","next_run_date","next_run_time"
"[TOPOS_KHTT_64_HCM_5]Interface","No description available.","TrungHieu","8/31/2022 9:28:13 AM","1","0","0","[Uncategorized (Local)]","1","20251211","150200"
"[TOPOS_KHTT_64_HCM_5]Interface","No description available.","TrungHieu","8/31/2022 9:28:13 AM","1","0","0","[Uncategorized (Local)]","1","20251211","231900"
"[TOPOS_KHTT_79_HCM_2]Interface","No description available.","TrungHieu","4/29/2021 9:11:35 AM","1","0","0","[Uncategorized (Local)]","1","20251211","150800"
"[TOPOS_KHTT_79_HCM_2]Interface","No description available.","TrungHieu","4/29/2021 9:11:35 AM","1","0","0","[Uncategorized (Local)]","1","20251211","231500"
"[TOPOS_KHTT_79_HCM_3]Interface","No description available.","TrungHieu","11/10/2021 5:59:25 PM","1","0","0","[Uncategorized (Local)]","1","20251211","150000"
"[TOPOS_KHTT_79_HCM_3]Interface","No description available.","TrungHieu","11/10/2021 5:59:25 PM","1","0","0","[Uncategorized (Local)]","1","20251211","231700"
"[TOPOS_KHTT_79_HCM_4]Interface","No description available.","TrungHieu","11/23/2021 2:30:45 PM","1","0","0","[Uncategorized (Local)]","1","20251211","150200"
"[TOPOS_KHTT_79_HCM_4]Interface","No description available.","TrungHieu","11/23/2021 2:30:45 PM","1","0","0","[Uncategorized (Local)]","1","20251211","231900"
"[TOPOS_KHTT_CFHCM2]Interface","No description available.","TrungHieu","3/4/2021 9:55:06 AM","1","0","0","[Uncategorized (Local)]","1","20251211","150600"
"[TOPOS_KHTT_CFHCM2]Interface","No description available.","TrungHieu","3/4/2021 9:55:06 AM","1","0","0","[Uncategorized (Local)]","1","20251211","231900"
"[TOPOS_KHTT_CFHN]Interface","No description available.","TrungHieu","3/8/2021 10:40:05 AM","1","0","0","[Uncategorized (Local)]","1","20251211","150400"
"[TOPOS_KHTT_CFHN]Interface","No description available.","TrungHieu","3/8/2021 10:40:05 AM","1","0","0","[Uncategorized (Local)]","1","20251211","232100"
"[TOPOS_KHTT_CUM0_CFHCM]Interface","No description available.","TrungHieu","6/12/2020 11:09:50 AM","1","0","0","[Uncategorized (Local)]","1","20251211","150000"
"[TOPOS_KHTT_CUM0_CFHCM]Interface","No description available.","TrungHieu","6/12/2020 11:09:50 AM","1","0","0","[Uncategorized (Local)]","1","20251211","232300"
"[TOPOS_KHTT_CUM1_CFTinh]Interface","No description available.","TrungHieu","1/15/2021 11:29:28 AM","1","0","0","[Uncategorized (Local)]","1","20251211","150200"
"[TOPOS_KHTT_CUM1_CFTinh]Interface","No description available.","TrungHieu","1/15/2021 11:29:28 AM","1","0","0","[Uncategorized (Local)]","1","20251211","232500"
"CDW_DC-SQL06_DBCF_DC-SQL06_DBCF_0","No description available.","khttadmin","7/15/2025 9:20:10 AM","1","0","0","[Uncategorized (Local)]","","",""
"check_job","No description available.","khttadmin","12/29/2022 8:47:19 AM","1","0","0","[Uncategorized (Local)]","","",""
"EOY_Local_Tranfer","No description available.","sa","10/10/2017 2:25:20 PM","1","0","0","[Uncategorized (Local)]","0","0","0"
"HPT_Backup_NetWorker","No description available.","SGCOOP\adminsqldcdr","2/23/2022 4:34:20 PM","1","0","0","[Uncategorized (Local)]","0","20220301","23018"
"Job_Bk_TransLog","No description available.","usrHPT","4/27/2018 7:39:09 AM","1","0","0","[Uncategorized (Local)]","1","20251211","160000"
"KHTT_ST_Backup","No description available.","sa","10/10/2017 2:25:19 PM","1","0","0","[Uncategorized (Local)]","1","20251211","234500"
"KHTT_ST_ReIndex","No description available.","sa","10/10/2017 2:25:20 PM","1","0","0","[Uncategorized (Local)]","1","20251212","10000"
"KHTT_ST_Shrink","No description available.","sa","10/10/2017 2:25:20 PM","1","0","0","[Uncategorized (Local)]","1","20251212","70000"
"KHTT_ST_TichLuyTrongNgay","No description available.","sa","10/10/2017 2:25:20 PM","1","0","0","[Uncategorized (Local)]","1","20251212","63000"
"KHTT_ST_Transfer CTPhatSinh","Transfer CTPhatsinh monthly","sa","10/10/2017 2:25:20 PM","1","0","0","Database Maintenance","1","20260111","10000"
"KHTT_ST_Transfer CTPhatSinh_KhuyenMai","Tranfers CTphatsinh_Khuyenmai monthly","sa","10/10/2017 2:25:20 PM","1","0","0","Database Maintenance","1","20251212","10000"
"KHTT_ST_Transfer History_PrintVoucher","No description available.","khttadmin","10/17/2025 1:54:26 PM","1","0","0","[Uncategorized (Local)]","1","20251212","1000"
"KHTT_ST_Transfer INVTSERVxx","No description available.","sa","10/10/2017 2:25:20 PM","1","0","0","[Uncategorized (Local)]","1","20251217","233000"
"KHTT_ST_Transfer_TNDSERVxx","No description available.","sa","6/15/2020 2:43:59 PM","1","0","0","[Uncategorized (Local)]","1","20251217","234000"
"KHTT_ST_TransferLocalData_ForReport","Job ch?y chuy?n d? li?u vo d?u thng (ngy 1).
Cc d? li?u du?c chuy?n ph?c v? cho bo co.
G?m 3 steps: 
1. Transfer danh m?c khch hng c?a siu th?
2. Transfer CTPhatSinh
3. Transfer CTPhatSinh_KhuyenMai
4. Transfer Tich luy","sa","7/1/2023 4:23:23 PM","1","0","0","[Uncategorized (Local)]","1","20260101","50000"
"Shrink_DB_KHTT_ST","No description available.","khttadmin","12/26/2022 2:18:41 PM","1","0","0","[Uncategorized (Local)]","0","20230106","20000"
"Son_ShrinkLog_DB","No description available.","feadmin","11/13/2021 10:34:32 AM","1","0","0","[Uncategorized (Local)]","1","20251211","164720"
"syspolicy_purge_history","No description available.","sa","8/24/2017 8:10:40 PM","1","0","0","[Uncategorized (Local)]","1","20251212","20000"
"Update_INVTSERV_LoaiDMH","No description available.","khttadmin","12/11/2021 5:18:25 PM","1","0","0","[Uncategorized (Local)]","1","20251212","50000"
