"Database Name","avg_read_latency_ms","avg_write_latency_ms","avg_io_latency_ms","File Size (MB)","physical_name","type_desc","io_stall_read_ms","num_of_reads","io_stall_write_ms","num_of_writes","io_stalls","total_io","Resource Governor Total Read IO Latency (ms)","Resource Governor Total Write IO Latency (ms)"
"KHTT_ST_TEST","647.4","0.1","500.6","54699.69","D:\ChiTuyen_TEST_250715\KHTT_ST24.mdf","ROWS","384298185","593558","17121","174195","384315306","767753","0","0"
"KHTT_ST24","13.0","20.2","13.6","55130.25","E:\DBCRM2017\KHTT_ST24.mdf","ROWS","7272139","560876","1167493","57930","8439632","618806","0","0"
"SGCReport","5.0","8.6","7.5","31529.88","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\SGCReport.mdf","ROWS","1003338","199665","3992740","465689","4996078","665354","0","0"
"SGCReport_2016_2021","0.6","3.4","3.3","36502.00","E:\DBCRM2017\SGCReport_2016_2021.mdf","ROWS","2046","3617","845350","251627","847396","255244","0","0"
"KHTT_ST22","4.8","2.2","3.2","176.94","E:\DBCRM2017\KHTT_ST22.ldf","LOG","22734","4715","14893","6893","37627","11608","0","0"
"tempdb","1.5","4.7","3.1","18.13","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\tempdb.mdf","ROWS","362064464","234379723","1112285306","234508955","1474349770","468888678","0","0"
"tempdb","1.5","3.1","2.3","18.00","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\tempdev1.ndf","ROWS","28431247","18850580","58898447","18851850","87329694","37702430","0","0"
"msdb","1.4","1.7","1.6","333.75","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\MSDBData.mdf","ROWS","14157","10410","88002","53058","102159","63468","0","0"
"SGCReport","4.7","1.4","1.6","813.50","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\SGCReport_log.ldf","LOG","426693","91030","2508704","1796430","2935397","1887460","0","0"
"KHTT_ST","3.4","1.5","1.6","76411.88","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\KHTT_ST.mdf","ROWS","65143608","19173297","643834863","422090222","708978471","441263519","0","0"
"KHTT_ST_TEST","1.4","1.3","1.3","2321.38","D:\ChiTuyen_TEST_250715\KHTT_ST24_log.ldf","LOG","7472","5493","138760","106164","146232","111657","0","0"
"KHTT_ST24","0.6","1.2","1.2","1.00","E:\DBCRM2017\KHTT_ST24_log.ldf","LOG","47","79","28044","23548","28091","23627","0","0"
"SGCReport_2016_2021","0.5","1.1","1.1","1.00","E:\DBCRM2017\SGCReport_2016_2021_log.ldf","LOG","29","56","949573","868633","949602","868689","0","0"
"tempdb","0.6","1.1","1.1","0.50","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\templog.ldf","LOG","30","47","7016368","6170128","7016398","6170175","0","0"
"master","0.9","1.4","1.0","4.88","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\master.mdf","ROWS","623","691","405","295","1028","986","0","0"
"model","1.0","0.5","1.0","3.19","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\model.mdf","ROWS","376","389","3","5","379","394","0","0"
