"Database Name","Database Owner","Recovery Model","state_desc","containment_desc","Log Reuse Wait Description","Log Size (MB)","Log Used (MB)","Log Used %","DB Compatibility Level","Page Verify Option","is_auto_create_stats_on","is_auto_update_stats_on","is_auto_update_stats_async_on","is_parameterization_forced","snapshot_isolation_state_desc","is_read_committed_snapshot_on","is_auto_close_on","is_auto_shrink_on","target_recovery_time_in_seconds","is_cdc_enabled","is_published","is_distributor","is_encrypted","group_database_id","replica_id","is_memory_optimized_elevate_to_snapshot_on","delayed_durability_desc","is_auto_create_stats_incremental_on","is_encrypted1","encryption_state","percent_complete","key_algorithm","key_length"
"AccessConfig","sa","FULL","ONLINE","NONE","NOTHING","6.74","0.63","9.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","7d9e5a30-a915-4ef9-8c0d-5f852e519bfe","7ac952c5-325f-45d5-86c2-1258db96be54","False","DISABLED","False","False","","","",""
"KHTT_ST","sa","FULL","ONLINE","NONE","LOG_BACKUP","285.05","118.15","41.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","a42abf35-d9bf-4774-973c-a8af4c3b7dae","7ac952c5-325f-45d5-86c2-1258db96be54","False","DISABLED","False","False","","","",""
"KHTT_ST_TEST","feadmin","SIMPLE","ONLINE","NONE","NOTHING","2321.37","87.44","4.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"KHTT_ST22","feadmin","FULL","ONLINE","NONE","LOG_BACKUP","176.93","172.99","98.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"KHTT_ST23","feadmin","FULL","ONLINE","NONE","NOTHING","0.99","0.48","49.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"KHTT_ST24","feadmin","SIMPLE","ONLINE","NONE","NOTHING","0.99","0.49","50.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"master","sa","SIMPLE","ONLINE","NONE","NOTHING","1.99","1.23","62.00","120","CHECKSUM","True","True","False","False","ON","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"model","sa","FULL","ONLINE","NONE","NOTHING","0.74","0.49","66.00","120","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"msdb","sa","SIMPLE","ONLINE","NONE","NOTHING","90.68","3.13","3.00","120","CHECKSUM","True","True","False","False","ON","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"ReportServer","sa","FULL","ONLINE","NONE","NOTHING","6.12","0.97","16.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"ReportServerTempDB","sa","SIMPLE","ONLINE","NONE","NOTHING","3.37","0.79","23.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"SDI_CFNQ","sa","FULL","ONLINE","NONE","NOTHING","0.99","0.42","43.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","65d5b598-f83c-4c91-b139-48a5ba5c8af0","7ac952c5-325f-45d5-86c2-1258db96be54","False","DISABLED","False","False","","","",""
"SGCReport","sa","FULL","ONLINE","NONE","NOTHING","813.49","23.94","3.00","100","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","a3ec1fdc-915f-4270-aa94-f286c3e03bc4","7ac952c5-325f-45d5-86c2-1258db96be54","False","DISABLED","False","False","","","",""
"SGCReport_2016_2021","khttadmin","FULL","ONLINE","NONE","NOTHING","0.99","0.43","44.00","120","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"Son_TEST_DCDR","sa","FULL","ONLINE","NONE","NOTHING","1.49","0.53","35.00","120","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
"tempdb","sa","SIMPLE","ONLINE","NONE","NOTHING","19.62","10.35","53.00","120","CHECKSUM","True","True","False","False","OFF","False","False","False","0","False","False","False","False","","","False","DISABLED","False","False","","","",""
