"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact"
"4080421.75","2025-12-11 15:16:15","[KHTT_ST].[dbo].[CTNhanThuong]","3","2","[MaThe13]","","","22","150382","27.23","99.65"
"556557.77","2025-12-11 15:16:14","[KHTT_ST].[dbo].[CTPhatSinh]","8","1","","[NgayNhap]","[MaThe13], [MaHD], [SoHD], [MaST], [NgayHD], [MaQuay]","180","9390","60.60","97.81"
"414395.12","2025-12-11 15:16:14","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[SoHD], [MaST], [MaQuay]","[NgayHD], [NgayNhap]","[MaThe13], [MaHD]","132","6886","60.22","99.93"
"15456.70","2025-12-11 15:07:28","[KHTT_ST].[dbo].[CTNhanThuong]","3","1","[MaThe13], [MaHH]","[NgayNhan]","[SoDiemTru]","382","565","27.38","99.91"
"15433.50","2025-12-11 15:07:28","[KHTT_ST].[dbo].[CTNhanThuong]","3","2","[MaThe13]","[NgayNhan]","","382","565","27.38","99.76"
"10551.76","2025-10-29 11:11:14","[KHTT_ST].[dbo].[CTPhatSinh07]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","198","434","52.95","45.92"
"9453.60","2025-10-29 11:03:01","[KHTT_ST].[dbo].[CTPhatSinh08]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","209","382","53.53","46.23"
"9310.26","2025-12-05 14:10:11","[KHTT_ST].[dbo].[CTPhatSinh09]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","189","388","58.61","40.94"
"8871.10","2025-07-25 13:54:51","[KHTT_ST].[dbo].[CTPhatSinh05]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","201","386","47.53","48.35"
"8782.00","2025-12-11 15:15:56","[msdb].[dbo].[sysjobhistory]","2","1","[step_id], [run_status]","","[instance_id], [run_date], [run_time]","8731","112834","0.08","95.26"
"8608.93","2025-12-05 16:30:34","[KHTT_ST].[dbo].[CTPhatSinh10]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","141","350","53.40","46.06"
"7423.22","2025-07-08 16:16:57","[KHTT_ST].[dbo].[CTPhatSinh04]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","157","337","44.32","49.7"
"7347.01","2025-05-08 16:27:07","[KHTT_ST].[dbo].[CTPhatSinh03]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","152","323","49.61","45.85"
"7206.97","2025-12-09 11:19:42","[KHTT_ST24].[dbo].[CTNhanThuong]","1","1","[MaThe13]","","","71","133","54.27","99.84"
"6931.56","2025-09-11 15:40:56","[KHTT_ST].[dbo].[CTPhatSinh06]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","130","305","50.55","44.96"
"5773.30","2025-04-21 16:06:55","[KHTT_ST].[dbo].[CTPhatSinh02]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","181","322","35.98","49.83"
"5139.29","2025-06-24 16:34:55","[KHTT_ST].[dbo].[History_INVTSERV05]","1","1","[TX_NO], [DATE]","","[TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [STORE], [TXDATE]","21","22","234.24","99.73"
"3518.50","2025-11-10 15:02:11","[KHTT_ST_TEST].[dbo].[CTPhatSinh]","4","1","[MaThe13], [SoHD]","","[ID], [MaHD], [MaDotKhuyenMai], [MaST], [NgayHD], [MaQuay], [TongTienHD], [DiemTichLuy], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [DoiCapDo], [DichVu], [LyDo], [MaLyDo], [MaNVNhap], [NgayNhap], [DaVanChuyen], [NVCash], [IDBiButToan], [NgayVanChuyen]","8","16","219.95","99.98"
