"Buffer Pool Rank","Database Name","Cached Size (MB)","Buffer Pool Percent"
"1","KHTT_ST","25209.58","63.71"
"2","KHTT_ST24","8706.84","22.00"
"3","tempdb","2900.64","7.33"
"4","SGCReport","1615.19","4.08"
"5","KHTT_ST_TEST","600.84","1.52"
"6","KHTT_ST23","204.59","0.52"
"7","KHTT_ST22","171.69","0.43"
"8","msdb","140.02","0.35"
"9","SGCReport_2016_2021","7.68","0.02"
"10","master","3.90","0.01"
"11","SDI_CFNQ","2.99","0.01"
"12","ReportServer","1.82","0.00"
"13","AccessConfig","1.58","0.00"
"14","Son_TEST_DCDR","1.42","0.00"
"15","ReportServerTempDB","1.30","0.00"
"16","model","1.26","0.00"
