"client_net_address","program_name","host_name","login_name","connection count"
"10.10.1.105","","DC-SQL06","NT AUTHORITY\SYSTEM","5"
"10.10.1.105",".Net SqlClient Data Provider","DC-SQL06","cfkhttget","23"
"10.10.1.105","Microsoft SQL Server Management Studio","DC-SQL06","khttadmin","1"
"10.10.1.105","Microsoft SQL Server Management Studio - Query","DC-SQL06","khttadmin","1"
"10.10.1.105","Microsoft? Windows? Operating System","DC-SQL06","NT AUTHORITY\SYSTEM","1"
"10.10.1.105","SQLAgent - Email Logger","DC-SQL06","NT AUTHORITY\SYSTEM","1"
"10.10.1.105","SQLAgent - Generic Refresher","DC-SQL06","NT AUTHORITY\SYSTEM","1"
"10.10.1.105","SQLAgent - Job invocation engine","DC-SQL06","NT AUTHORITY\SYSTEM","1"
"10.10.1.108","dbatools PowerShell module - dbatools.io","DC-DBA-REP","SGCOOP\adminsqldcdr","2"
"10.100.101.62",".Net SqlClient Data Provider","TONGDAI-KDTT","kiosk","2"
"10.100.101.63",".Net SqlClient Data Provider","TONGDAI-KDTT","kiosk","1"
"10.100.101.65",".Net SqlClient Data Provider","TONGDAI-KDTT","kiosk","4"
"10.100.101.68",".Net SqlClient Data Provider","TONGDAI-KDTT","kiosk","3"
"10.100.101.73",".Net SqlClient Data Provider","TONGDAI-KDTT","kiosk","1"
"10.100.11.115",".Net SqlClient Data Provider","NGOCTUYEN","cfkhttget","3"
"10.100.11.70",".Net SqlClient Data Provider","YAOURT-PC","feadmin","1"
"10.100.11.70","Microsoft SQL Server","YAOURT-PC","feadmin","2"
"10.200.114.66",".Net SqlClient Data Provider","645-C1","cfkhttget","1"
"10.200.122.61",".Net SqlClient Data Provider","652-VP2","cfkhttget","1"
"10.200.162.60",".Net SqlClient Data Provider","691-CASH01","cfkhttget","1"
"10.200.17.70",".Net SqlClient Data Provider","227-VP2","khtt_cfc_ct","1"
"10.200.5.72",".Net SqlClient Data Provider","215-CASH03","khtt_cfc_ct","1"
"10.205.26.202",".Net SqlClient Data Provider","9126-VP02","cfkhttget","1"
"10.205.39.169",".Net SqlClient Data Provider","9139-CASH1","kiosk","1"
"10.205.51.116",".Net SqlClient Data Provider","CASH01","kiosk","1"
"10.205.57.122",".Net SqlClient Data Provider","9158-CASH01","kiosk","1"
"10.205.57.135",".Net SqlClient Data Provider","9158-CASH02","kiosk","1"
"10.205.64.127",".Net SqlClient Data Provider","CHT-ECODREAM","cfkhttget","1"
"10.209.103.21",".Net SqlClient Data Provider","CFVTU1-SRV","cfkhttget","4"
"10.209.43.62",".Net SqlClient Data Provider","2088-VP","cfkhttget","1"
"10.209.61.68",".Net SqlClient Data Provider","2175-VP1","cfkhttget","1"
"10.69.1.70",".Net SqlClient Data Provider","CASH07NEW","kiosk","1"
"10.70.1.69",".Net SqlClient Data Provider","CASH03","kiosk","1"
"192.168.1.21","Microsoft SQL Server","SGC-CFNQ-SRV","TrungHieu","2"
"192.168.1.23","Microsoft SQL Server","DC-TOPOSINT-SVR","TrungHieu","4"
