"SQL Server Process CPU Utilization","System Idle Process","Other Process CPU Utilization","Event Time"
"2","93","5","12/11/2025 3:15:45 PM"
"4","93","3","12/11/2025 3:14:44 PM"
"3","92","5","12/11/2025 3:13:44 PM"
"5","91","4","12/11/2025 3:12:44 PM"
"2","93","5","12/11/2025 3:11:44 PM"
"4","92","4","12/11/2025 3:10:44 PM"
"3","92","5","12/11/2025 3:09:43 PM"
"3","93","4","12/11/2025 3:08:43 PM"
"4","92","4","12/11/2025 3:07:43 PM"
"3","93","4","12/11/2025 3:06:43 PM"
"3","93","4","12/11/2025 3:05:43 PM"
"2","93","5","12/11/2025 3:04:42 PM"
"3","93","4","12/11/2025 3:03:42 PM"
"4","92","4","12/11/2025 3:02:42 PM"
"2","93","5","12/11/2025 3:01:42 PM"
"5","92","3","12/11/2025 3:00:42 PM"
"4","92","4","12/11/2025 2:59:42 PM"
"4","92","4","12/11/2025 2:58:41 PM"
"4","92","4","12/11/2025 2:57:41 PM"
"4","92","4","12/11/2025 2:56:41 PM"
"5","91","4","12/11/2025 2:55:41 PM"
"2","93","5","12/11/2025 2:54:41 PM"
"5","92","3","12/11/2025 2:53:40 PM"
"5","92","3","12/11/2025 2:52:40 PM"
"5","91","4","12/11/2025 2:51:40 PM"
"6","92","2","12/11/2025 2:50:40 PM"
"6","91","3","12/11/2025 2:49:40 PM"
"3","92","5","12/11/2025 2:48:40 PM"
"5","92","3","12/11/2025 2:47:39 PM"
"7","91","2","12/11/2025 2:46:39 PM"
"3","93","4","12/11/2025 2:45:39 PM"
"4","92","4","12/11/2025 2:44:39 PM"
"4","93","3","12/11/2025 2:43:39 PM"
"6","91","3","12/11/2025 2:42:38 PM"
"5","92","3","12/11/2025 2:41:38 PM"
"5","92","3","12/11/2025 2:40:38 PM"
"3","93","4","12/11/2025 2:39:38 PM"
"3","92","5","12/11/2025 2:38:38 PM"
"2","93","5","12/11/2025 2:37:38 PM"
"3","93","4","12/11/2025 2:36:37 PM"
"3","93","4","12/11/2025 2:35:37 PM"
"2","93","5","12/11/2025 2:34:37 PM"
"4","92","4","12/11/2025 2:33:37 PM"
"3","92","5","12/11/2025 2:32:37 PM"
"4","92","4","12/11/2025 2:31:36 PM"
"2","93","5","12/11/2025 2:30:36 PM"
"2","93","5","12/11/2025 2:29:36 PM"
"3","93","4","12/11/2025 2:28:36 PM"
"1","94","5","12/11/2025 2:27:36 PM"
"2","93","5","12/11/2025 2:26:36 PM"
"3","93","4","12/11/2025 2:25:35 PM"
"3","92","5","12/11/2025 2:24:35 PM"
"2","93","5","12/11/2025 2:23:35 PM"
"4","93","3","12/11/2025 2:22:35 PM"
"4","92","4","12/11/2025 2:21:35 PM"
"3","92","5","12/11/2025 2:20:34 PM"
"2","93","5","12/11/2025 2:19:34 PM"
"3","93","4","12/11/2025 2:18:34 PM"
"3","93","4","12/11/2025 2:17:34 PM"
"2","93","5","12/11/2025 2:16:34 PM"
"3","93","4","12/11/2025 2:15:34 PM"
