"Database Name","Object Type","Cache Object Type","Plan Size in KB"
"master","Prepared","Compiled Plan","1936"
"master","Prepared","Compiled Plan","1880"
"master","Adhoc","Compiled Plan","1152"
"master","Adhoc","Compiled Plan","1064"
"master","Adhoc","Compiled Plan","768"
"KHTT_ST","Adhoc","Compiled Plan","736"
"KHTT_ST","Adhoc","Compiled Plan","736"
"master","Prepared","Compiled Plan","656"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
"master","Adhoc","Compiled Plan","520"
