"Database Name","Short Query Text","Total Logical Reads","Min Logical Reads","Avg Logical Reads","Max Logical Reads","Min Worker Time","Avg Worker Time","Max Worker Time","Min Elapsed Time","Avg Elapsed Time","Max Elapsed Time","Execution Count","Has Missing Index","Creation Time"
"KHTT_ST","Create PROC [dbo].[sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET] 				@Mathe varchar(50)   with execute as OwnerASBEGIN		DECLARE @sqlString nvarchar(4000), @where nvarchar(4000), 			@TongSoDiemTruDauNgay numeric(19,2), @TongSoDiemTru numeric","671051921","46191","46196","46208","452584","627186","898012","24314","34759","359228","14526","1","12/11/2025 7:00:01 AM"
"KHTT_ST","Create PROC [dbo].[sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET] 				@Mathe varchar(50)   with execute as OwnerASBEGIN		DECLARE @sqlString nvarchar(4000), @where nvarchar(4000), 			@TongSoDiemTruDauNgay numeric(19,2), @TongSoDiemTru numeric","671051920","46191","46196","46208","472977","643693","5594402","25812","36373","454905","14526","1","12/11/2025 7:00:01 AM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_3]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV15]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]","37793502","808924","821597","830077","3205886","4030146","5468544","3296510","4166139","5584232","46","0","12/11/2025 7:40:02 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ				INSERT INTO [KHTT_ST].dbo.[INVTSERV10]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYPE] 			,SKU_RE","18447528","371038","392500","406252","2504285","3120850","5208302","2548560","3234357","5356117","47","0","12/11/2025 7:30:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFHCM2]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ_CUM1				INSERT INTO [KHTT_ST].dbo.[INVTSERV12]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TY","13050669","263901","277673","287073","1944927","2525716","5303016","2011309","2605440","5379820","47","0","12/11/2025 7:36:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_2]ASBEGIN-- D?ng INVTSRV14 - Tu TOPOS_CFCQ_CUM3 - srv cloud cum 4				INSERT INTO [KHTT_ST].dbo.[INVTSERV14]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,R","12468004","256478","271043","280220","1635266","2026668","3537308","1664206","2078113","3570726","46","0","12/11/2025 7:38:01 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFHN]ASBEGIN-- D?ng INVTSRV13 - Tu TOPOS_CFCQ_CUMHN				INSERT INTO [KHTT_ST].dbo.[INVTSERV13]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYP","5542477","114634","117925","120469","1174368","1337455","1889708","1376621","1644305","2331049","47","0","12/11/2025 7:34:00 AM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV15  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","2293909","88185","88227","88360","3668663","3824619","4077371","824762","893388","1257637","26","1","12/11/2025 2:40:47 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV10  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","2180878","83841","83879","84118","978966","1017162","1063238","118064","130292","154134","26","1","12/11/2025 2:40:46 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV14  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","2170754","83465","83490","83672","857750","943847","1015641","121621","136468","187836","26","1","12/11/2025 2:40:47 PM"
