"SP Name","min_elapsed_time","avg_elapsed_time","max_elapsed_time","last_elapsed_time","total_elapsed_time","execution_count","Calls/Minute","AvgWorkerTime","TotalWorkerTime","Has Missing Index","Last Execution Time","Plan Cached Time"
"KHTT_INTERFACE_TENDER_HCM_3","3072551","4122439","5592157","3759792","206121960","50","0","3983067","199153374","0","2025-12-11 15:50:03","2025-12-11 07:40:02"
"KHTT_INTERFACE_INVTSERV","2554110","3340387","7042944","7042944","170359749","51","0","3145117","160401000","0","2025-12-11 15:50:00","2025-12-11 07:30:00"
"KHTT_INTERFACE_INVTSERV_CFHCM2","2017317","2603002","5384644","2288375","130150132","50","0","2517284","125864204","0","2025-12-11 15:46:00","2025-12-11 07:36:00"
"KHTT_INTERFACE_INVTSERV_HCM_3","1619926","2118095","7335927","2144001","105904761","50","0","2034598","101729930","1","2025-12-11 15:50:00","2025-12-11 07:40:00"
"KHTT_INTERFACE_INVTSERV_HCM_2","1671831","2088337","3575985","2166588","104416882","50","0","2030951","101547564","0","2025-12-11 15:48:00","2025-12-11 07:38:00"
"KHTT_INTERFACE_INVTSERV_HCM_4","1598842","2029516","3468001","1989086","99446298","49","0","1856388","90963038","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_INVTSERV_HCM_5","1385637","1872579","4556284","1773615","91756416","49","0","1692338","82924608","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_INVTSERV_CFHN","1384305","1663691","2335163","2280190","83184550","50","0","1351910","67595537","0","2025-12-11 15:44:00","2025-12-11 07:34:00"
"KHTT_INTERFACE_INVTSERV_CFTinh","1025981","1447984","2472520","1951732","72399247","50","0","1266292","63314615","1","2025-12-11 15:42:00","2025-12-11 07:32:00"
"KHTT_INTERFACE_TENDER","1037575","1180924","2056478","1270655","60227134","51","0","1116197","56926073","1","2025-12-11 15:50:07","2025-12-11 07:30:06"
"KHTT_INTERFACE_TENDER_HCM_4","754388","962150","2505963","915895","47145366","49","0","915458","44857475","1","2025-12-11 15:42:02","2025-12-11 07:42:03"
"KHTT_INTERFACE_TENDER_CFHCM2","782210","949793","1736153","922460","47489670","50","0","905327","45266351","1","2025-12-11 15:46:02","2025-12-11 07:36:03"
"KHTT_INTERFACE_TENDER_HCM_5","768427","902848","1256012","875507","44239568","49","0","855465","41917794","1","2025-12-11 15:42:02","2025-12-11 07:42:05"
"KHTT_INTERFACE_TENDER_HCM_2","700168","859601","1219943","919362","42980052","50","0","811256","40562819","1","2025-12-11 15:48:02","2025-12-11 07:38:03"
"KHTT_INTERFACE_TENDER_CFTinh","635642","755632","1911471","1056095","37781634","50","0","715652","35782605","1","2025-12-11 15:42:02","2025-12-11 07:32:02"
"KHTT_INTERFACE_TENDER_CFHN","430878","540349","2000387","2000387","27017489","50","0","513648","25682424","1","2025-12-11 15:44:03","2025-12-11 07:34:02"
"sp_GET_HIST_HDR","182979","532294","859414","219463","5322941","10","0","752107","7521070","0","2025-12-11 15:07:42","2025-12-11 09:06:01"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","66913","103405","2296420","103710","1577340502","15254","28","1292380","19713974421","1","2025-12-11 15:50:12","2025-12-11 07:00:01"
"CRM_GET_POINT_TT","63880","95822","243607","243607","13319344","139","0","95049","13211858","0","2025-12-11 15:47:42","2025-12-11 07:00:38"
"getTNDSERV","6000","62918","1418544","20734","634214938","10080","20","367410","3703498103","0","2025-12-11 15:49:20","2025-12-11 07:37:36"
"CRM_POINT_REDEEM_TT","17498","20872","33346","23493","647048","31","0","20458","634221","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"sp_GET_CUSTOMER_INFO_AT_SUPERMARKET","36","19873","396118","23409","265348691","13352","25","19550","261039425","0","2025-12-11 15:50:10","2025-12-11 07:00:05"
"sp_CallCenter_GET_CIM_At_SCM","253","16111","61746","21850","3963438","246","0","15727","3869036","0","2025-12-11 15:49:25","2025-12-11 07:08:25"
"CRM_POINT_REDEEM","10254","14249","73127","11581","441733","31","0","3182","98649","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"CRM_GET_INFOR","146","9007","21516","14997","1225010","136","0","8839","1202170","0","2025-12-11 15:47:42","2025-12-11 07:00:37"
