"SP Name","TotalLogicalWrites","AvgLogicalWrites","execution_count","Calls/Minute","total_elapsed_time","avg_elapsed_time","Has Missing Index","Last Execution Time","Plan Cached Time"
"KHTT_INTERFACE_INVTSERV_CFHN","17880","357","50","0","83184550","1663691","0","2025-12-11 15:44:00","2025-12-11 07:34:00"
"sp_MSins_dboKhachHang","8016","19","405","0","453116","1118","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"sp_MSupd_dboKhachHang","7352","0","10812","20","1110165","102","0","2025-12-11 15:49:45","2025-12-11 07:09:39"
"KHTT_INTERFACE_TENDER","4387","86","51","0","60227134","1180924","1","2025-12-11 15:50:07","2025-12-11 07:30:06"
"KHTT_INTERFACE_TENDER_HCM_2","3829","76","50","0","42980052","859601","1","2025-12-11 15:48:02","2025-12-11 07:38:03"
"KHTT_INTERFACE_TENDER_HCM_3","3758","75","50","0","206121960","4122439","0","2025-12-11 15:50:03","2025-12-11 07:40:02"
"KHTT_INTERFACE_TENDER_HCM_4","3645","74","49","0","47145366","962150","1","2025-12-11 15:42:02","2025-12-11 07:42:03"
"KHTT_INTERFACE_TENDER_HCM_5","3380","68","49","0","44239568","902848","1","2025-12-11 15:42:02","2025-12-11 07:42:05"
"KHTT_INTERFACE_TENDER_CFHCM2","3379","67","50","0","47489670","949793","1","2025-12-11 15:46:02","2025-12-11 07:36:03"
"KHTT_INTERFACE_INVTSERV","3120","61","51","0","170359749","3340387","0","2025-12-11 15:50:00","2025-12-11 07:30:00"
"KHTT_INTERFACE_INVTSERV_HCM_3","3066","61","50","0","105904761","2118095","1","2025-12-11 15:50:00","2025-12-11 07:40:00"
"KHTT_INTERFACE_INVTSERV_HCM_4","2884","58","49","0","99446298","2029516","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_TENDER_CFTinh","2603","52","50","0","37781634","755632","1","2025-12-11 15:42:02","2025-12-11 07:32:02"
"KHTT_INTERFACE_INVTSERV_HCM_5","2402","49","49","0","91756416","1872579","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_INVTSERV_HCM_2","2261","45","50","0","104416882","2088337","0","2025-12-11 15:48:00","2025-12-11 07:38:00"
"KHTT_INTERFACE_INVTSERV_CFHCM2","2091","41","50","0","130150132","2603002","0","2025-12-11 15:46:00","2025-12-11 07:36:00"
"KHTT_INTERFACE_TENDER_CFHN","2047","40","50","0","27017489","540349","1","2025-12-11 15:44:03","2025-12-11 07:34:02"
"KHTT_INTERFACE_INVTSERV_CFTinh","1450","29","50","0","72399247","1447984","1","2025-12-11 15:42:00","2025-12-11 07:32:00"
"sp_MSupd_dboThe","1204","2","426","0","75858","178","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","464","0","15256","28","1577621056","103409","1","2025-12-11 15:50:17","2025-12-11 07:00:01"
"CRM_POINT_REDEEM","329","10","31","0","441733","14249","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"sp_GET_HIST_HDR","90","9","10","0","5322941","532294","0","2025-12-11 15:07:42","2025-12-11 09:06:01"
"sp_INVTSERV","71","0","20160","38","178224667","8840","0","2025-12-11 15:49:17","2025-12-11 07:07:01"
"getTNDSERV","30","0","10080","20","634214938","62918","0","2025-12-11 15:49:20","2025-12-11 07:37:36"
"sp_MSins_dboCTKhuyenMai","21","3","6","0","787","131","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
