"SP Name","Avg IO","Execution Count"
"KHTT_INTERFACE_TENDER_HCM_3","822432","50"
"KHTT_INTERFACE_INVTSERV","393776","51"
"KHTT_INTERFACE_INVTSERV_CFHCM2","278316","50"
"KHTT_INTERFACE_INVTSERV_HCM_2","271927","50"
"KHTT_INTERFACE_INVTSERV_CFHN","118460","50"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","46197","15256"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","46197","15256"
"KHTT_INTERFACE_INVTSERV_HCM_3","4414","50"
"KHTT_INTERFACE_INVTSERV_HCM_4","3999","49"
"KHTT_INTERFACE_INVTSERV_HCM_5","3311","49"
"KHTT_INTERFACE_TENDER","3136","51"
"KHTT_INTERFACE_INVTSERV_CFTinh","2898","50"
"KHTT_INTERFACE_TENDER_HCM_4","2616","49"
"KHTT_INTERFACE_TENDER_HCM_2","2484","50"
"KHTT_INTERFACE_TENDER_CFHCM2","2435","50"
"KHTT_INTERFACE_TENDER_HCM_5","2407","49"
"KHTT_INTERFACE_TENDER_CFTinh","1816","50"
"KHTT_INTERFACE_TENDER_CFHN","1182","50"
"sp_MSins_dboKhachHang","109","355"
"CRM_POINT_REDEEM","42","31"
"CRM_POINT_REDEEM","19","31"
"sp_MSins_dboCTKhuyenMai","17","6"
"sp_MSupd_dboThe","17","426"
"checkPINValid","15","31"
"CRM_POINT_REDEEM","15","31"
"CRM_CHECK_PIN_EXISTS","8","40"
"CRM_POINT_REDEEM","6","4"
"CRM_POINT_REDEEM","5","31"
"CRM_GET_INFOR","5","137"
"sp_MSins_dboKhuyenMai_SieuThiPOS","5","1"
"sp_MSupd_dboKhachHang","5","10812"
"sp_MSins_dboCTKhuyenMaiPOS","5","1"
"sp_MSins_dboKhachHang","4","50"
"sp_MSins_dboKhachHang","4","405"
"sp_MSins_dboDieuKienKhuyenMaiPOS","4","1"
"sp_MSins_dboKhuyenMaiPOS","4","1"
"sp_INVTSERV","4","20200"
"CRM_POINT_REDEEM","4","31"
"sp_MSins_dboKhuyenMai_SieuThi","3","2"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","3","15256"
"sp_MSins_dboKhuyenMai","3","2"
"CRM_POINT_REDEEM","3","31"
"CRM_POINT_REDEEM","3","31"
"CRM_POINT_REDEEM","3","31"
"CRM_GET_CONVERSION_INFO","2","171"
"CRM_GET_POINT_TT","2","140"
"CRM_POINT_REDEEM_TT","2","31"
