"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact","Table Name","Table Rows"
"4128767.31","12/11/2025 3:50:30 PM","[KHTT_ST].[dbo].[CTNhanThuong]","3","2","[MaThe13]","","","22","151860","27.28","99.65","CTNhanThuong","1469461"
"597413.07","12/11/2025 3:49:20 PM","[KHTT_ST].[dbo].[CTPhatSinh]","8","1","","[NgayNhap]","[MaThe13], [MaHD], [SoHD], [MaST], [NgayHD], [MaQuay]","180","10080","60.60","97.8","CTPhatSinh","328254"
"444846.14","12/11/2025 3:49:20 PM","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[SoHD], [MaST], [MaQuay]","[NgayHD], [NgayNhap]","[MaThe13], [MaHD]","132","7392","60.22","99.93","CTPhatSinh","328254"
"15752.13","12/11/2025 3:36:03 PM","[KHTT_ST].[dbo].[CTNhanThuong]","3","1","[MaThe13], [MaHH]","[NgayNhan]","[SoDiemTru]","390","574","27.47","99.91","CTNhanThuong","1469461"
"15728.48","12/11/2025 3:36:03 PM","[KHTT_ST].[dbo].[CTNhanThuong]","3","2","[MaThe13]","[NgayNhan]","","390","574","27.47","99.76","CTNhanThuong","1469461"
"10551.76","10/29/2025 11:11:14 AM","[KHTT_ST].[dbo].[CTPhatSinh07]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","198","434","52.95","45.92","CTPhatSinh07","922192"
"9453.60","10/29/2025 11:03:01 AM","[KHTT_ST].[dbo].[CTPhatSinh08]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","209","382","53.53","46.23","CTPhatSinh08","937729"
"9310.26","12/5/2025 2:10:11 PM","[KHTT_ST].[dbo].[CTPhatSinh09]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","189","388","58.61","40.94","CTPhatSinh09","924630"
"8871.10","7/25/2025 1:54:51 PM","[KHTT_ST].[dbo].[CTPhatSinh05]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","201","386","47.53","48.35","CTPhatSinh05","871403"
"8608.93","12/5/2025 4:30:34 PM","[KHTT_ST].[dbo].[CTPhatSinh10]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","141","350","53.40","46.06","CTPhatSinh10","952514"
"7423.22","7/8/2025 4:16:57 PM","[KHTT_ST].[dbo].[CTPhatSinh04]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","157","337","44.32","49.7","CTPhatSinh04","835767"
