"Schema Name","Object Name","index_id","Buffer size(MB)","BufferCount","Row Count","Compression Type"
"dbo","History_INVTSERV11","0","3206.38","410417","21139281","NONE"
"dbo","History_TNDSERV11","0","2172.23","278046","66463088","NONE"
"dbo","KhachHang","1","1113.37","142511","2757379","NONE"
"dbo","TichLuyTrongNgay","1","703.45","90041","3260628","NONE"
"dbo","CTPhatSinh","1","648.13","82960","329088","NONE"
"dbo","TichLuy","1","442.71","56667","3260628","NONE"
"dbo","Coupon","1","397.87","50927","1588479","NONE"
"dbo","ChiThuongCuoiNam","1","386.52","49475","2426167","NONE"
"dbo","CTNhanThuong","1","347.05","44423","1469468","NONE"
"dbo","The","1","279.54","35781","3260628","NONE"
"dbo","CTPhatSinh11","1","262.04","33541","962426","NONE"
"dbo","CTPhatSinh08","1","248.03","31748","937729","NONE"
"dbo","CTPhatSinh07","1","247.63","31696","922192","NONE"
"dbo","CTPhatSinh09","1","242.22","31004","924630","NONE"
"dbo","CTPhatSinh10","1","235.34","30123","952514","NONE"
"dbo","CTPhatSinh05","1","232.56","29768","871403","NONE"
"dbo","History_INVTSERV12","0","232.18","29719","14743746","NONE"
"dbo","CTPhatSinh03","1","232.07","29705","871013","NONE"
"dbo","CTPhatSinh06","1","231.41","29621","873833","NONE"
"dbo","CTPhatSinh04","1","221.39","28338","835767","NONE"
"dbo","History_INVTSERV09","0","219.35","28077","19619955","NONE"
"dbo","CTPhatSinh01","1","211.91","27124","798991","NONE"
"dbo","CTPhatSinh02","1","184.27","23587","695633","NONE"
"dbo","CTPhatSinh","2","180.41","23092","329088","NONE"
"dbo","History_TNDSERV12","0","165.71","21211","5177737","NONE"
"dbo","KhachHang","3","156.14","19986","2757379","NONE"
"dbo","History_INVTSERV08","0","144.59","18507","20936551","NONE"
"dbo","KhachHang","5","144.05","18438","2757379","NONE"
"dbo","History_INVTSERV10","0","143.30","18342","17995240","NONE"
"dbo","TichLuyTrongNgay","2","141.70","18137","3260628","NONE"
"dbo","KhachHang","7","132.70","16986","2757379","NONE"
"dbo","Coupon","3","110.09","14092","1588479","NONE"
"dbo","The","3","105.40","13491","3260628","NONE"
"dbo","Coupon","2","103.80","13287","1588479","NONE"
"dbo","KhachHang","6","86.94","11128","2757379","NONE"
"dbo","History_INVTSERV07","0","85.80","10982","19439353","NONE"
"dbo","The","2","80.25","10272","3260628","NONE"
"dbo","TichLuy","2","80.23","10270","3260628","NONE"
"dbo","KhachHang","8","67.27","8610","2757379","NONE"
"dbo","CTPhatSinh11","2","65.23","8349","962426","NONE"
"dbo","KhachHang","4","63.16","8084","2757379","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS","1","62.84","8043","136646","NONE"
"dbo","KhachHang","2","53.89","6898","2757379","NONE"
"dbo","History_TNDSERV09","0","51.84","6636","4524597","NONE"
"dbo","CTPhatSinh08","2","47.95","6138","937729","NONE"
"dbo","INVTSERV10","1","34.77","4451","152242","NONE"
"dbo","CTPhatSinh09","2","32.49","4159","924630","NONE"
"dbo","UpdateList","1","32.02","4098","38","NONE"
"dbo","CTPhatSinh07","2","30.70","3929","922192","NONE"
"dbo","TNDSERV15","1","29.00","3712","279519","NONE"
"dbo","INVTSERV12","1","25.06","3208","107655","NONE"
"dbo","History_TNDSERV08","0","24.84","3180","6003016","NONE"
"dbo","INVTSERV14","1","24.75","3168","105853","NONE"
"dbo","CTPhatSinh06","2","24.38","3120","873833","NONE"
"dbo","CTPhatSinh05","2","23.91","3060","871403","NONE"
"dbo","CTPhatSinh03","2","23.79","3045","871013","NONE"
