"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","History_TNDSERV11","66463088","NONE"
"dbo","History_INVTSERV11","21139281","NONE"
"dbo","History_INVTSERV08","20936551","NONE"
"dbo","History_INVTSERV03","19953716","NONE"
"dbo","History_INVTSERV09","19619955","NONE"
"dbo","History_INVTSERV07","19439353","NONE"
"dbo","History_INVTSERV06","19345483","NONE"
"dbo","History_INVTSERV04","19334938","NONE"
"dbo","History_INVTSERV05","19087470","NONE"
"dbo","History_INVTSERV10","17995240","NONE"
"dbo","History_INVTSERV01","15901223","NONE"
"dbo","History_INVTSERV12","14743746","NONE"
"dbo","History_INVTSERV02","14674682","NONE"
"dbo","History_TNDSERV06","12525451","NONE"
"dbo","History_TNDSERV08","6003016","NONE"
"dbo","History_TNDSERV07","5423841","NONE"
"dbo","History_TNDSERV10","5267492","NONE"
"dbo","History_TNDSERV12","5177737","NONE"
"dbo","History_TNDSERV05","4633254","NONE"
"dbo","History_TNDSERV09","4524597","NONE"
"dbo","History_TNDSERV01","4349281","NONE"
"dbo","LichSuCapTheTT","4167797","NONE"
"dbo","History_TNDSERV03","4115850","NONE"
"dbo","History_TNDSERV04","3509516","NONE"
"dbo","TichLuyTrongNgay","3260628","NONE"
"dbo","TichLuy","3260628","NONE"
"dbo","The","3260628","NONE"
"dbo","ChiThuongCuoiNam_2021","2851398","NONE"
"dbo","KhachHang","2757379","NONE"
"dbo","History_TNDSERV02","2749063","NONE"
"dbo","ChiThuongCuoiNam_2023","2482186","NONE"
"dbo","ChiThuongCuoiNam","2426167","NONE"
"dbo","CTNhanThuong_2024","2077137","NONE"
"dbo","Coupon","1588479","NONE"
"dbo","CTNhanThuong","1469468","NONE"
"dbo","CTPhatSinh11","962426","NONE"
"dbo","CTPhatSinh10","952514","NONE"
"dbo","STAMPTRX_New_BK_VN052019","947248","NONE"
"dbo","CTPhatSinh08","937729","NONE"
"dbo","CTPhatSinh09","924630","NONE"
"dbo","CTPhatSinh07","922192","NONE"
"dbo","STAMPTRX_New_BK_Bf082020","879833","NONE"
"dbo","CTPhatSinh06","873833","NONE"
"dbo","CTPhatSinh05","871403","NONE"
"dbo","CTPhatSinh03","871013","NONE"
"dbo","STAMPTRX_New_BK_Bf130421","870776","NONE"
"dbo","CTPhatSinh04","835767","NONE"
"dbo","STAMPTRX_New_Nam2018","804317","NONE"
"dbo","CTPhatSinh01","798991","NONE"
"dbo","CTPhatSinh02","695633","NONE"
"dbo","CTPhieuQT","625932","NONE"
"dbo","CTPhatSinh","329121","NONE"
"dbo","TNDSERV15","279519","NONE"
"dbo","LichSuCapTheST","173377","NONE"
"dbo","STAMPTRX_New_BK_Bf131120","152516","NONE"
"dbo","INVTSERV10","152242","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS","136646","NONE"
"dbo","INVTSERV15","133792","NONE"
"dbo","TNDSERV10","131578","NONE"
"dbo","STAMPTRX_New_BK_Bf221221_SongXanh","128219","NONE"
"dbo","INVTSERV16","120848","NONE"
