"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.MSreplication_subscriptions","USER_TABLE","uc1MSReplication_subscriptions","12/11/2025 3:09:38 PM","False","False","False","False","False","25","2"
"dbo.CTPhatSinh_KhuyenMaiPOS","USER_TABLE","IX_CTPhatSinh_KhuyenMaiPOS","12/11/2025 2:33:16 PM","False","False","False","False","False","136646","1848"
"dbo.CTPhatSinh11","USER_TABLE","IX_CTPhatSinh_MaThe13","12/11/2025 9:35:03 AM","False","False","False","False","False","962426","8351"
"dbo.CTPhatSinh","USER_TABLE","IX_CTPhatSinh","12/11/2025 9:02:29 AM","False","False","False","False","False","329121","8117"
"dbo.TichLuyTrongNgay","USER_TABLE","IX_TichLuyTrongNgay","12/11/2025 6:32:20 AM","False","False","False","False","False","3260628","17925"
"dbo.TichLuyTrongNgay","USER_TABLE","PK_TichLuyTrongNgay","12/11/2025 6:32:20 AM","False","False","False","False","False","3260628","88982"
"dbo.TichLuy","USER_TABLE","PK__TichLuy__1B7E091A","12/11/2025 1:00:35 AM","False","False","False","False","False","3260628","56746"
"dbo.Sync","USER_TABLE","PK_Sync","12/11/2025 1:00:30 AM","False","False","False","False","False","91120","1234"
"dbo.INVTSERV17","USER_TABLE","PK_INVTSERV17","12/11/2025 1:00:29 AM","False","False","False","False","False","106121","2323"
"dbo.INVTSERV16","USER_TABLE","PK_INVTSERV16","12/11/2025 1:00:29 AM","False","False","False","False","False","120848","2727"
"dbo.INVTSERV15","USER_TABLE","PK_INVTSERV15","12/11/2025 1:00:28 AM","False","False","False","False","False","133792","2918"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_Mathe7","12/11/2025 1:00:28 AM","False","False","False","False","False","1441","8"
"dbo.INVTSERV14","USER_TABLE","PK_INVTSERV14","12/11/2025 1:00:28 AM","False","False","False","False","False","105853","3211"
"dbo.INVTSERV13","USER_TABLE","PK_INVTSERV13","12/11/2025 1:00:27 AM","False","False","False","False","False","57966","1859"
"dbo.INVTSERV12","USER_TABLE","PK_INVTSERV12","12/11/2025 1:00:27 AM","False","False","False","False","False","107655","3250"
"dbo.INVTSERV11","USER_TABLE","PK_INVTSERV11","12/11/2025 1:00:26 AM","False","False","False","False","False","72444","2257"
"dbo.History_KhachHang","USER_TABLE","IX_History_KhachHang_DTBan","12/11/2025 1:00:25 AM","False","False","False","False","False","33477","249"
"dbo.INVTSERV10","USER_TABLE","PK_INVTSERV10","12/11/2025 1:00:25 AM","False","False","False","False","False","152242","4491"
"dbo.TNDSERV17","USER_TABLE","PK_TNDSERV17","12/11/2025 1:00:25 AM","False","False","False","False","False","100675","1547"
"dbo.TNDSERV16","USER_TABLE","PK_TNDSERV16","12/11/2025 1:00:24 AM","False","False","False","False","False","106380","1684"
"dbo.TNDSERV15","USER_TABLE","PK_TNDSERV15","12/11/2025 1:00:24 AM","False","False","False","False","False","279519","3752"
"dbo.TNDSERV14","USER_TABLE","PK_TNDSERV14","12/11/2025 1:00:23 AM","False","False","False","False","False","99230","1595"
"dbo.TNDSERV13","USER_TABLE","PK_TNDSERV13","12/11/2025 1:00:23 AM","False","False","False","False","False","52096","900"
"dbo.TNDSERV12","USER_TABLE","PK_TNDSERV12","12/11/2025 1:00:22 AM","False","False","False","False","False","99628","1572"
