"Object Name","object_id","type_desc","Statistics Name","stats_id","no_recompute","auto_created","is_incremental","is_temporary","modification_counter","rows","rows_sampled","last_updated"
"CTPhatSinh_KhuyenMaiPOS","1943677972","USER_TABLE","_WA_Sys_00000010_73DA2C14","9","False","True","False","False","1219303211","8290","3863","1/3/2019 2:55:10 PM"
"CTPhatSinh_KhuyenMaiPOS","1943677972","USER_TABLE","_WA_Sys_0000000B_73DA2C14","10","False","True","False","False","1219106455","7187","4194","4/27/2019 11:16:32 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_0000000B_0AF29B96","16","False","True","False","False","155496841","355744","37215","2/13/2020 3:36:13 PM"
"TichLuyTrongNgay","1883153754","USER_TABLE","_WA_Sys_0000000F_703EA55A","4","False","True","False","False","120485124","3944062","87273","12/13/2021 2:18:02 PM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_00000007_11B63E6C","13","False","True","False","False","99325360","208135","81644","1/8/2021 2:46:54 PM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_00000009_11B63E6C","8","False","True","False","False","99171784","361703","97608","1/12/2021 1:54:32 PM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_00000013_6A50C1DA","8","False","True","False","False","82712782","6215278","132394","11/20/2018 8:56:34 AM"
"History_INVTSERV01","1735677231","USER_TABLE","_WA_Sys_00000014_6774552F","5","False","True","False","False","79234026","2205703","95123","3/4/2016 2:15:38 PM"
"History_INVTSERV01","1735677231","USER_TABLE","_WA_Sys_00000018_6774552F","24","False","True","False","False","79233924","2205703","95123","3/4/2016 2:15:53 PM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_00000013_695C9DA1","8","False","True","False","False","79106908","5827490","127544","11/20/2018 8:36:01 AM"
"TNDSERV15","457156774","USER_TABLE","_WA_Sys_00000009_1B3FA8A6","8","False","True","False","False","77889137","7174","7174","1/11/2021 7:13:54 AM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000016_6E2152BE","5","False","True","False","False","70630194","1261893","80468","8/8/2020 12:09:29 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000D_6E2152BE","14","False","True","False","False","70630194","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000C_6E2152BE","15","False","True","False","False","70630194","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000F_6E2152BE","12","False","True","False","False","70630194","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000E_6E2152BE","13","False","True","False","False","70630194","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000007_6E2152BE","20","False","True","False","False","70630194","1261893","80468","8/8/2020 12:09:32 PM"
"TNDSERV12","361156432","USER_TABLE","_WA_Sys_00000009_1586CF50","8","False","True","False","False","69494427","7192","7192","1/10/2021 9:14:35 PM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000014_68687968","7","False","True","False","False","68044753","1884923","89410","3/4/2016 2:15:48 PM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000018_68687968","3","False","True","False","False","68044753","1884923","89410","3/4/2016 2:15:47 PM"
"TNDSERV14","425156660","USER_TABLE","_WA_Sys_00000009_19576034","8","False","True","False","False","65753241","15533","15533","1/11/2021 10:42:06 PM"
"TNDSERV16","489156888","USER_TABLE","_WA_Sys_00000009_1D27F118","8","False","True","False","False","63835055","7930","7930","1/10/2021 9:15:10 PM"
