"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"TichLuyTrongNgay","PK_TichLuyTrongNgay","1","9375310599","57186","7146","9375374931","144299094","CLUSTERED","0","False","","12/11/2025 4:22:11 PM","12/11/2025 3:07:27 PM","12/11/2025 4:23:13 PM"
"The","IX_The_MaThe7","3","9089924793","0","0","9089924793","1052290","NONCLUSTERED","0","False","","","","12/11/2025 4:23:06 PM"
"TichLuy","PK__TichLuy__1B7E091A","1","344451820","1497","85603","344538920","174354122","CLUSTERED","0","False","","12/11/2025 6:30:58 AM","12/11/2025 4:06:51 PM","12/11/2025 4:23:13 PM"
"KhuyenMaiPOS","PK_KhuyenMaiPOS","1","37211072","101673123","0","138884195","47","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","","12/11/2025 4:22:51 PM"
"DieuKienKhuyenMaiPOS","PK_DieuKienKhuyenMaiPOS","1","25152","134201568","0","134226720","2410","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","","12/2/2025 12:04:41 PM"
"CTKhuyenMaiPOS","PK_CTKhuyenMaiPOS","1","24336","134201568","0","134225904","29","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","","12/8/2025 11:26:36 AM"
"KhuyenMai_SieuThiPOS","PK__KhuyenMai_SieuThi","1","104246512","29955278","0","134201790","1754","CLUSTERED","0","False","","8/26/2025 12:19:37 AM","","12/11/2025 4:22:51 PM"
"LoaiKhuyenMai","PK__LoaiKhuyenMai__40AF8DC9","1","0","124394779","0","124394779","0","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"The","PK__The__02B25B50","1","11977804","1078","29081781","41060663","1117619","CLUSTERED","0","False","","12/9/2025 9:58:52 PM","12/11/2025 4:23:06 PM","12/11/2025 4:23:12 PM"
"INVTSERV10","PK_INVTSERV10","1","29850560","79053","0","29929613","29850861","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","12/11/2025 4:22:20 PM"
"CapDo","PK__CapDo__2CA8951C","1","11682407","16071304","0","27753711","0","CLUSTERED","0","False","","12/11/2025 4:23:12 PM","","12/11/2025 4:22:52 PM"
"INVTSERV15","PK_INVTSERV15","1","24412162","79510","0","24491672","24413015","CLUSTERED","0","False","","12/11/2025 4:22:30 PM","","12/11/2025 4:22:33 PM"
"INVTSERV16","PK_INVTSERV16","1","23579015","80189","0","23659204","23579996","CLUSTERED","0","False","","12/11/2025 4:22:33 PM","","12/11/2025 4:22:40 PM"
"KhachHang_QuaTang_CapDo","PK_KhachHang_QuaTang_CapDo_1","1","22242353","26549","0","22268902","0","CLUSTERED","0","False","","12/11/2025 4:23:06 PM","","12/11/2025 4:23:13 PM"
"INVTSERV14","PK_INVTSERV14","1","20781733","81268","0","20863001","20784375","CLUSTERED","0","False","","12/11/2025 4:22:27 PM","","12/11/2025 4:22:30 PM"
"INVTSERV12","PK_INVTSERV12","1","18445296","82634","0","18527930","18449341","CLUSTERED","0","False","","12/11/2025 4:22:24 PM","","12/11/2025 4:22:27 PM"
"CTNhanThuong","PK__CTNhanThuong__54B68676","1","987079","14824397","0","15811476","986221","CLUSTERED","0","False","","12/11/2025 4:23:13 PM","","12/10/2025 11:26:40 PM"
"INVTSERV17","PK_INVTSERV17","1","14294216","85243","0","14379459","14300914","CLUSTERED","0","False","","12/11/2025 4:22:40 PM","","12/11/2025 4:22:45 PM"
"KhachHang","PK__KhachHang__095F58DF","1","7518572","33439","6557588","14109599","5707115","CLUSTERED","0","False","","12/11/2025 2:49:29 PM","12/11/2025 4:23:12 PM","12/11/2025 4:22:52 PM"
"INVTSERV13","PK_INVTSERV13","1","13905240","92059","0","13997299","13918708","CLUSTERED","0","False","","12/11/2025 4:22:27 PM","","12/11/2025 4:22:27 PM"
"INVTSERV11","PK_INVTSERV11","1","12113073","92116","0","12205189","12126641","CLUSTERED","0","False","","12/11/2025 4:22:20 PM","","12/11/2025 4:22:24 PM"
"CTKhuyenMai","PK__CTKhuyenMai__381A47C8","1","765733","9862094","0","10627827","123","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","12/9/2025 11:26:20 PM"
"KhuyenMai","PK__KhuyenMai__3631FF56","1","7109893","2751789","0","9861682","54","CLUSTERED","0","False","","12/1/2025 5:00:32 AM","","12/11/2025 4:22:17 PM"
"KhuyenMai_SieuThi","PK__KhuyenMai_SieuTh__5E3FF0B0","1","2751797","7109830","0","9861627","68","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","","10/13/2025 3:21:53 PM"
"QuanHuyen","PK__QuanHuyen__4668671F","1","8102186","135109","0","8237295","863","CLUSTERED","0","False","","12/11/2025 4:09:05 PM","","12/11/2025 4:23:12 PM"
"TinhTP","PK__TinhTP__44801EAD","1","8154522","12590","0","8167112","104","CLUSTERED","0","False","","12/11/2025 4:06:44 PM","","12/11/2025 4:23:12 PM"
"ChiThuongCuoiNam","PK__ChiThuongCuoiNam__674A37FD","1","7837361","0","0","7837361","376535","CLUSTERED","0","False","","","","12/11/2025 4:23:13 PM"
"QuaTang","PK__QuaTang__3DD3211E","1","7413951","0","0","7413951","0","CLUSTERED","0","False","","","","12/11/2025 4:23:13 PM"
"KhachHang","IX_KhachHang_DTDD","3","6216553","0","0","6216553","5707115","NONCLUSTERED","0","False","","","","12/11/2025 4:23:12 PM"
"TNDSERV10","PK_TNDSERV10","1","6163380","39995","0","6203375","1315705","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","","12/11/2025 4:21:08 PM"
"KhachHang","IX_KhachHang_DTBan","4","6154189","20600","0","6174789","5707115","NONCLUSTERED","0","False","","12/10/2025 8:55:33 PM","","12/11/2025 4:23:12 PM"
"SKU_Vendor","PK_SKU_Vendor","1","4682741","0","0","4682741","531","CLUSTERED","0","False","","","","12/11/2025 4:22:45 PM"
"TNDSERV14","PK_TNDSERV14","1","4334503","40725","0","4375228","926432","CLUSTERED","0","False","","12/11/2025 4:22:47 PM","","12/11/2025 4:19:36 PM"
"TNDSERV12","PK_TNDSERV12","1","4161438","40735","0","4202173","839475","CLUSTERED","0","False","","12/11/2025 4:22:47 PM","","12/11/2025 4:16:47 PM"
"TNDSERV13","PK_TNDSERV13","1","3271764","40951","0","3312715","748734","CLUSTERED","0","False","","12/11/2025 4:22:47 PM","","12/11/2025 4:15:22 PM"
"TNDSERV11","PK_TNDSERV11","1","2657786","40955","0","2698741","561282","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","","12/11/2025 4:22:47 PM"
"TNDSERV15","PK_TNDSERV15","1","2344115","39121","0","2383236","1123486","CLUSTERED","0","False","","12/11/2025 4:22:47 PM","","12/11/2025 4:21:11 PM"
"CauHinh","","0","0","2361584","0","2361584","0","HEAP","0","False","","12/11/2025 4:22:45 PM","",""
"CauHinhSKU_LoaiDMH","PK__CauHinhSKU_LoaiDMH","1","66","2348938","0","2349004","66","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","","8/9/2025 12:03:34 PM"
"TNDSERV16","PK_TNDSERV16","1","2213813","40576","0","2254389","1058249","CLUSTERED","0","False","","12/11/2025 4:22:48 PM","","12/11/2025 4:22:49 PM"
"TNDSERV17","PK_TNDSERV17","1","1762729","40638","0","1803367","807041","CLUSTERED","0","False","","12/11/2025 4:22:49 PM","","12/11/2025 4:22:51 PM"
"CTPhatSinh","PK__CTPhatSnh__12E8C319","1","16480","1195380","0","1211860","9884523","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","","12/3/2025 4:00:04 PM"
"NhanThuong","PK__NhanThuong__66D536B1","1","1171881","907","0","1172788","1064","CLUSTERED","0","False","","12/8/2025 2:06:59 PM","","12/11/2025 4:22:17 PM"
"NhanThuong_SieuThi","PK__QuaThuong_SieuTh__6C8E1007","1","0","1170696","0","1170696","0","CLUSTERED","0","False","","12/11/2025 4:22:17 PM","",""
"MSsubscription_agents","ucMSsubscription_agents","1","744536","2","0","744538","372268","CLUSTERED","0","False","","4/26/2025 10:45:47 AM","","12/11/2025 4:21:39 PM"
"MSreplication_subscriptions","uc1MSReplication_subscriptions","1","324393","312959","0","637352","448481","CLUSTERED","0","False","","12/11/2025 4:21:39 PM","","12/11/2025 4:21:39 PM"
"QuyenNhanVien","PK__QuyenNhanVien__2374309D","1","600488","52","0","600540","380581","CLUSTERED","0","False","","12/5/2025 6:51:42 PM","","12/11/2025 4:10:27 PM"
"PhuongXa","PK__PhuongXa__4850AF91","1","175323","243140","0","418463","15185","CLUSTERED","0","False","","12/11/2025 4:09:05 PM","","12/11/2025 4:22:50 PM"
"CTQuyenNhanVien","PK_CTQuyenNhanVIen","1","340592","580","0","341172","213849","CLUSTERED","0","False","","12/8/2025 10:32:11 AM","","12/11/2025 4:10:27 PM"
"CAMPGN","","0","0","338577","0","338577","672","HEAP","0","False","","12/11/2025 4:21:39 PM","",""
"The","IX_The_MaThe13","2","72","291515","0","291587","315544","NONCLUSTERED","0","False","","12/11/2025 4:09:32 PM","","12/2/2025 8:05:08 AM"
