"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"TichLuy","PK__TichLuy__1B7E091A","1","174354122","344538923","CLUSTERED","0","False","","","12/11/2025 4:23:06 PM"
"TichLuyTrongNgay","PK_TichLuyTrongNgay","1","144299094","9375374937","CLUSTERED","0","False","","","12/11/2025 4:23:06 PM"
"CTPhatSinh_KhuyenMaiPOS","PK_CTPhatSinh_KhuyenMaiPOS","1","134416173","13217","CLUSTERED","0","False","","","12/11/2025 4:22:45 PM"
"CTPhatSinh_KhuyenMaiPOS","IX_CTPhatSinh_KhuyenMaiPOS","2","134409781","3630","NONCLUSTERED","0","False","","","12/11/2025 4:22:45 PM"
"INVTSERV10","PK_INVTSERV10","1","29850861","29929613","CLUSTERED","0","False","","","12/11/2025 4:22:20 PM"
"INVTSERV15","PK_INVTSERV15","1","24413015","24491672","CLUSTERED","0","False","","","12/11/2025 4:22:33 PM"
"INVTSERV16","PK_INVTSERV16","1","23579996","23659204","CLUSTERED","0","False","","","12/11/2025 4:22:40 PM"
"INVTSERV14","PK_INVTSERV14","1","20784375","20863001","CLUSTERED","0","False","","","12/11/2025 4:22:30 PM"
"INVTSERV12","PK_INVTSERV12","1","18449341","18527930","CLUSTERED","0","False","","","12/11/2025 4:22:27 PM"
"INVTSERV17","PK_INVTSERV17","1","14300914","14379459","CLUSTERED","0","False","","","12/11/2025 4:22:45 PM"
"INVTSERV13","PK_INVTSERV13","1","13918708","13997299","CLUSTERED","0","False","","","12/11/2025 4:22:27 PM"
"INVTSERV11","PK_INVTSERV11","1","12126641","12205189","CLUSTERED","0","False","","","12/11/2025 4:22:24 PM"
"CTPhatSinh","PK__CTPhatSnh__12E8C319","1","9884523","1211860","CLUSTERED","0","False","","","12/11/2025 4:22:17 PM"
"CTPhatSinh","IX_CTPhatSinh","2","9861662","0","NONCLUSTERED","0","False","","","12/11/2025 4:22:17 PM"
"KhachHang","PK__KhachHang__095F58DF","1","5707115","14109599","CLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"KhachHang","IX_KhachHang_DTDD","3","5707115","6216553","NONCLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"KhachHang","IX_KhachHang_DTBan","4","5707115","6174789","NONCLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"KhachHang","IX_KhachHang_HoLot","5","5707115","3738","NONCLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"KhachHang","IX_KhachHang_Ten","6","5707115","1228","NONCLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"KhachHang","IX_KhachHang_CMND","7","5707115","98502","NONCLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"KhachHang","IX_KhachHang_MaThe7","8","5707115","120220","NONCLUSTERED","0","False","","","12/11/2025 4:19:41 PM"
"TNDSERV10","PK_TNDSERV10","1","1315705","6203375","CLUSTERED","0","False","","","12/11/2025 4:21:08 PM"
"TNDSERV15","PK_TNDSERV15","1","1123486","2383236","CLUSTERED","0","False","","","12/11/2025 4:21:11 PM"
"The","PK__The__02B25B50","1","1117619","41060663","CLUSTERED","0","False","","","12/11/2025 4:13:40 PM"
"TNDSERV16","PK_TNDSERV16","1","1058249","2254389","CLUSTERED","0","False","","","12/11/2025 4:22:49 PM"
"The","IX_The_MaThe7","3","1052290","9089924793","NONCLUSTERED","0","False","","","12/11/2025 4:13:40 PM"
"CTNhanThuong","PK__CTNhanThuong__54B68676","1","986221","15811482","CLUSTERED","0","False","","","12/11/2025 4:23:06 PM"
"TNDSERV14","PK_TNDSERV14","1","926432","4375228","CLUSTERED","0","False","","","12/11/2025 4:19:36 PM"
