"machine_name","server_name","Database Name","recovery_model","Uncompressed Backup Size (MB)","Compressed Backup Size (MB)","Compression Ratio","has_backup_checksums","is_copy_only","encryptor_type","Backup Elapsed Time (sec)","Backup Finish Date","Backup Location","physical_block_size"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","68513","68513","1.00","False","False","","865","12/10/2025 11:59:25 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D10.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65836","65836","1.00","False","False","","650","12/9/2025 11:55:50 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D09.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65843","65843","1.00","False","False","","859","12/8/2025 11:59:19 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D08.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65750","65750","1.00","False","False","","852","12/7/2025 11:59:13 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D07.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65794","65794","1.00","False","False","","676","12/6/2025 11:56:16 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D06.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65509","65509","1.00","False","False","","787","12/5/2025 11:58:07 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D05.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65586","65586","1.00","False","False","","851","12/4/2025 11:59:11 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D04.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","67975","67975","1.00","False","False","","702","12/3/2025 11:56:42 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D03.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65232","65232","1.00","False","False","","837","12/2/2025 11:58:57 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D02.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","65135","65135","1.00","False","False","","875","12/1/2025 11:59:35 PM","E:\DBCRM2017\Backup\KHTT_ST2025M12D01.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64815","64815","1.00","False","False","","804","11/30/2025 11:58:24 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D30.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64901","64901","1.00","False","False","","710","11/29/2025 11:56:50 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D29.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64688","64688","1.00","False","False","","867","11/28/2025 11:59:27 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D28.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64522","64522","1.00","False","False","","785","11/27/2025 11:58:05 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D27.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","67444","67444","1.00","False","False","","739","11/26/2025 11:57:19 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D26.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64625","64625","1.00","False","False","","879","11/25/2025 11:59:39 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D25.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64775","64775","1.00","False","False","","823","11/24/2025 11:58:43 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D24.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64679","64679","1.00","False","False","","757","11/23/2025 11:57:37 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D23.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64375","64375","1.00","False","False","","870","11/22/2025 11:59:30 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D22.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64378","64378","1.00","False","False","","733","11/21/2025 11:57:13 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D21.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64338","64338","1.00","False","False","","837","11/20/2025 11:58:57 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D20.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","66297","66297","1.00","False","False","","851","11/19/2025 11:59:11 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D19.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","64219","64219","1.00","False","False","","508","11/18/2025 11:53:28 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D18.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","68747","68747","1.00","False","False","","865","11/17/2025 11:59:25 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D17.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","70733","70733","1.00","False","False","","861","11/15/2025 11:59:21 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D15.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","70666","70666","1.00","False","False","","658","11/14/2025 11:55:58 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D14.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","70554","70554","1.00","False","False","","880","11/13/2025 11:59:40 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D13.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","104834","104834","1.00","False","False","","957","11/13/2025 12:00:58 AM","E:\DBCRM2017\Backup\KHTT_ST2025M11D12.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","70596","70596","1.00","False","False","","698","11/11/2025 11:56:39 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D11.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST","FULL","71211","71211","1.00","False","False","","793","11/10/2025 11:58:13 PM","E:\DBCRM2017\Backup\KHTT_ST2025M11D10.bak","512"
