"Schema Name","Object Name","index_id","Buffer size(MB)","BufferCount","Row Count","Compression Type"
"dbo","TNDSERV10","1","8.77","1122","10244454","NONE"
"dbo","TNDSERV15","1","7.66","980","8836460","NONE"
"dbo","TNDSERV14","1","7.38","944","8324570","NONE"
"dbo","TNDSERV12","1","7.00","896","8236196","NONE"
"dbo","TNDSERV16","1","6.95","890","8536632","NONE"
"dbo","UpdateList","0","6.03","772","38","NONE"
"dbo","TNDSERV13","1","5.84","747","6361825","NONE"
"dbo","TNDSERV11","1","4.62","591","4679982","NONE"
"dbo","CTPhieuQT","1","4.09","524","625932","NONE"
"dbo","CTPhatSinh04","1","3.81","488","803873","NONE"
"dbo","CTPhatSinh06","1","2.94","376","848779","NONE"
"dbo","CTPhatSinh09","1","2.82","361","944699","NONE"
"dbo","LichSuCapTheTT","1","2.77","354","4167797","NONE"
"dbo","CTPhatSinh06","2","2.46","315","848779","NONE"
"dbo","Coupon","1","2.30","295","843972","NONE"
"dbo","ChiThuongCuoiNam","1","2.09","268","2553832","NONE"
"dbo","CTPhatSinh02","1","2.05","262","595621","NONE"
"dbo","CTPhatSinh05","1","1.81","232","847239","NONE"
"dbo","KhachHang","10","1.80","230","3478257","NONE"
"dbo","CTPhatSinh10","1","1.71","219","1015508","NONE"
"dbo","History_INVTSERV01","0","1.70","218","6787972","NONE"
"dbo","TichLuyTrongNgay","1","1.70","218","3741515","NONE"
"dbo","KhachHang","12","1.68","215","3478257","NONE"
"dbo","KhachHang","8","1.63","209","3478257","NONE"
"dbo","CTNhanThuong","1","1.62","207","1559899","NONE"
"dbo","CTPhatSinh07","1","1.62","207","930779","NONE"
"dbo","CTPhatSinh","1","1.57","201","1006423","NONE"
"dbo","CTPhatSinh04","2","1.52","194","803873","NONE"
"dbo","CTPhatSinh03","1","1.45","185","832802","NONE"
"dbo","CTPhatSinh01","1","1.45","185","834785","NONE"
"dbo","CTPhatSinh10","2","1.32","169","1015508","NONE"
"dbo","TichLuy","1","1.18","151","3741515","NONE"
"dbo","History_INVTSERV12","0","1.13","145","6970450","NONE"
"dbo","CTPhatSinh11","1","1.09","140","968180","NONE"
"dbo","KhachHang","7","1.05","135","3478257","NONE"
"dbo","KhachHang","11","0.98","126","3478257","NONE"
"dbo","The","4","0.91","117","3741515","NONE"
"dbo","TNDSERV17","1","0.86","110","665953","NONE"
"dbo","INVTSERV16","1","0.79","101","213474","NONE"
"dbo","The","5","0.78","100","3741515","NONE"
"dbo","History_INVTSERV10","0","0.73","94","8768916","NONE"
