"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"UpdateList","","0","0","139","0","139","38","HEAP","0","False","","12/9/2025 1:34:15 PM","",""
"The","","0","0","0","1","1","0","HEAP","0","False","","","6/30/2025 10:03:10 AM",""
"The","IX_The_MaThe7","5","1","0","0","1","0","NONCLUSTERED","0","False","","","","6/30/2025 10:03:10 AM"
"CTPhatSinh_KhuyenMaiPOS10","PK__CTPhatSinh_KhuyenMaiPOS10","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS10","IX_CTPhatSinh_KhuyenMaiPOS10","2","","","","","","NONCLUSTERED","0","False","","","",""
"NhanThuong_SieuThi","","0","","","","","","HEAP","0","False","","","",""
"TNDSERV10","PK_TNDSERV10","1","","","","","","CLUSTERED","0","False","","","",""
"LichSuCapTheTT","PK_LichSuCapThe","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai05","PK_CTPhatSinh_KhuyenMai05","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai05","IX_CTPhatSinh_KhuyenMai05","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV15","PK_TNDSERV15","1","","","","","","CLUSTERED","0","False","","","",""
"CTNhanThuong","PK__CTNhanThuong__54B68676","1","","","","","","CLUSTERED","0","False","","","",""
"BonusSKU1618","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV9","PK_INVTSERV9","1","","","","","","CLUSTERED","0","False","","","",""
"Message","PK_Message","1","","","","","","CLUSTERED","0","False","","","",""
"NhomNhanVien_DMQuyen","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMai09","PK_CTPhatSinh_KhuyenMai09","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai09","IX_CTPhatSinh_KhuyenMai09","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV19","PK_TNDSERV19","1","","","","","","CLUSTERED","0","False","","","",""
"SGC_DocumentDetail","PK_SGC_DocumentDetail","1","","","","","","CLUSTERED","0","False","","","",""
"STAMPTRX_New_BK_Bf082020","","0","","","","","","HEAP","0","False","","","",""
"Message_NhanVien","PK_Message_NhanVien","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai10","PK_CTPhatSinh_KhuyenMai10","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai10","IX_CTPhatSinh_KhuyenMai10","2","","","","","","NONCLUSTERED","0","False","","","",""
"SGC_ApplicationItem","PK_SGC_ApplicationItem","1","","","","","","CLUSTERED","0","False","","","",""
"STAMPTRX_New_BK_Bf131120","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMai04","PK_CTPhatSinh_KhuyenMai04","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai04","IX_CTPhatSinh_KhuyenMai04","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV14","PK_TNDSERV14","1","","","","","","CLUSTERED","0","False","","","",""
"CTQuyenNhomNhanVien","","0","","","","","","HEAP","0","False","","","",""
"API_Log","PK_API_Log","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV7","PK_INVTSERV7","1","","","","","","CLUSTERED","0","False","","","",""
"History_INVTSERV03","","0","","","","","","HEAP","0","False","","","",""
"LoaiThoiGianKhuyenMai","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV04","","0","","","","","","HEAP","0","False","","","",""
"Sync","PK_Sync","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS","PK_CTPhatSinh_KhuyenMaiPOS","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS","IX_CTPhatSinh_KhuyenMaiPOS","2","","","","","","NONCLUSTERED","0","False","","","",""
"CTPhatSinh01","PK__CTPhatSinh01","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh01","IX_CTPhatSinh_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"TichLuyTrongNgay","PK_TichLuyTrongNgay","1","","","","","","CLUSTERED","0","False","","","",""
"TichLuyTrongNgay","IX_TichLuyTrongNgay","2","","","","","","NONCLUSTERED","0","False","","","",""
"INVTSERV24","PK_INVTSERV24","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV23","PK_INVTSERV23","1","","","","","","CLUSTERED","0","False","","","",""
"History_INVTSERV07","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV05","","0","","","","","","HEAP","0","False","","","",""
"STAMPTRX_New_BK_VN052019","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV26","PK_INVTSERV26","1","","","","","","CLUSTERED","0","False","","","",""
"CAMBONUS","PK_CAMBONUS","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS02","PK__CTPhatSinh_KhuyenMaiPOS02","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS02","IX_CTPhatSinh_KhuyenMaiPOS02","2","","","","","","NONCLUSTERED","0","False","","","",""
"CTPhatSinh04","PK__CTPhatSinh04","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh04","IX_CTPhatSinh_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"NhaCungCap","","0","","","","","","HEAP","0","False","","","",""
"STAMPTRX_New_BK_Bf150622","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh05","PK__CTPhatSinh05","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh05","IX_CTPhatSinh_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"INVTSERV27","PK_INVTSERV27","1","","","","","","CLUSTERED","0","False","","","",""
"TNDSERV20","PK_TNDSERV20","1","","","","","","CLUSTERED","0","False","","","",""
"DMQuyen","","0","","","","","","HEAP","0","False","","","",""
"CTPhatQua","PK_CTPhatQua","1","","","","","","CLUSTERED","0","False","","","",""
"LichSuHuyChietKhauPOS","PK_LichSuHuyGiaoDich","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai11","PK_CTPhatSinh_KhuyenMai11","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai11","IX_CTPhatSinh_KhuyenMai11","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV21","PK_TNDSERV21","1","","","","","","CLUSTERED","0","False","","","",""
"KhachHang_QuaTang_CapDo","PK_KhachHang_QuaTang_CapDo_1","1","","","","","","CLUSTERED","0","False","","","",""
"KhachHang_QuaTang_CapDo","IX_KhachHang_QuaTang_CapDo_MaThe13","3","","","","","","NONCLUSTERED","0","False","","","",""
"TonKhoQua","PK_TonKhoQua","1","","","","","","CLUSTERED","0","False","","","",""
"NhomQuyen","","0","","","","","","HEAP","0","False","","","",""
"CTPhatSinh_KhuyenMai12","PK_CTPhatSinh_KhuyenMai12","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMai12","IX_CTPhatSinh_KhuyenMai12","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV22","PK_TNDSERV22","1","","","","","","CLUSTERED","0","False","","","",""
"HistoryPIN","PK_HistoryPIN","1","","","","","","CLUSTERED","0","False","","","",""
"TransferSync","PK_TransferSync","1","","","","","","CLUSTERED","0","False","","","",""
"History_TNDSERV03","","0","","","","","","HEAP","0","False","","","",""
"SieuThi","","0","","","","","","HEAP","0","False","","","",""
"ChiThuongCuoiNam_2021","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV01","","0","","","","","","HEAP","0","False","","","",""
"CauHinhSKU_LoaiDMH","","0","","","","","","HEAP","0","False","","","",""
"History_INVTSERV06","","0","","","","","","HEAP","0","False","","","",""
"CTGiaoNhan","PK_CTGiaoNhan","1","","","","","","CLUSTERED","0","False","","","",""
"LichSuCapTheST","","0","","","","","","HEAP","0","False","","","",""
"CTPhieuQT2012","","0","","","","","","HEAP","0","False","","","",""
"ReportLog","PK_ReportLog","1","","","","","","CLUSTERED","0","False","","","",""
"INVTSERV16","PK_INVTSERV16","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS09","PK__CTPhatSinh_KhuyenMaiPOS09","1","","","","","","CLUSTERED","0","False","","","",""
"CTPhatSinh_KhuyenMaiPOS09","IX_CTPhatSinh_KhuyenMaiPOS09","2","","","","","","NONCLUSTERED","0","False","","","",""
"CTTichLuy","PK_CTTichLuy","1","","","","","","CLUSTERED","0","False","","","",""
"CTTichLuy","IX_CTTichLuy_MaThe13","2","","","","","","NONCLUSTERED","0","False","","","",""
"TNDSERV8","PK_TNDSERV8","1","","","","","","CLUSTERED","0","False","","","",""
"CTNhomQuyen","","0","","","","","","HEAP","0","False","","","",""
"INVTSERV4","PK_INVTSERV4","1","","","","","","CLUSTERED","0","False","","","",""
"History_TNDSERV06","","0","","","","","","HEAP","0","False","","","",""
