"Database Name","Short Query Text","Avg Elapsed Time","min_elapsed_time","max_elapsed_time","last_elapsed_time","Execution Count","Avg Logical Reads","Avg Physical Reads","Avg Worker Time","Has Missing Index","Creation Time"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_3]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV15]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]","4166139","3296510","5584232","4026954","46","821597","0","4030146","0","12/11/2025 7:40:02 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ				INSERT INTO [KHTT_ST].dbo.[INVTSERV10]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYPE] 			,SKU_RE","3234357","2548560","5356117","4220566","47","392500","0","3120850","0","12/11/2025 7:30:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFHCM2]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ_CUM1				INSERT INTO [KHTT_ST].dbo.[INVTSERV12]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TY","2605440","2011309","5379820","2403075","47","277673","0","2525716","0","12/11/2025 7:36:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_3]ASBEGIN-- D?ng INVTSRV15 - Tu TOPOS_CFCQ_CUM4 				INSERT INTO [KHTT_ST].dbo.[INVTSERV15]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[","2111174","1613673","7330622","1940686","46","4415","0","2034607","1","12/11/2025 7:40:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_2]ASBEGIN-- D?ng INVTSRV14 - Tu TOPOS_CFCQ_CUM3 - srv cloud cum 4				INSERT INTO [KHTT_ST].dbo.[INVTSERV14]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,R","2086005","1664206","3570726","2449053","47","271252","0","2034428","0","12/11/2025 7:38:01 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_4]ASBEGIN-- D?ng INVTSRV16 - Tu TOPOS_CFCQ_CUM5 				INSERT INTO [KHTT_ST].dbo.[INVTSERV16]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			","2017875","1592620","3462263","1730722","46","3974","0","1865703","1","12/11/2025 7:42:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_5]ASBEGIN-- D?ng INVTSRV17 - Tu TOPOS_CFCQ_CUM5 				INSERT INTO [KHTT_ST].dbo.[INVTSERV17]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 	","1875208","1380254","4552375","2482384","46","3284","0","1699178","1","12/11/2025 7:42:00 AM"
"KHTT_ST","(@1 varchar(8000))SELECT * FROM [UpdateList] WHERE [AppType]=@1","1650721","121297","4395613","1924793","16","1100","0","9152","0","12/11/2025 11:43:44 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFHN]ASBEGIN-- D?ng INVTSRV13 - Tu TOPOS_CFCQ_CUMHN				INSERT INTO [KHTT_ST].dbo.[INVTSERV13]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYP","1644305","1376621","2331049","1519960","47","117925","1177","1337455","0","12/11/2025 7:34:00 AM"
"master","SELECTsms.message_id AS [ID],sl.name AS [Language]FROMsys.messages AS smsLEFT OUTER JOIN sys.syslanguages AS sl  ON sms.language_id = sl.lcidWHERE(sms.message_id > 50000)ORDER BY[ID] ASC","1430771","1430771","1430771","1430771","1","0","0","1335503","0","12/11/2025 3:16:23 PM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFTinh]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ_CUM1				INSERT INTO [KHTT_ST].dbo.[INVTSERV11]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYPE","1427401","1019457","2465539","1647229","47","2876","0","1264584","1","12/11/2025 7:32:00 AM"
"KHTT_ST","create PROC [dbo].[KHTT_INTERFACE_TENDER]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV10]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]           ","1171261","1031437","2051898","1124697","47","3070","0","1113790","1","12/11/2025 7:30:06 AM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_4]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV16]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE","959799","747606","2499090","933716","46","2558","0","919289","1","12/11/2025 7:42:03 AM"
"KHTT_ST","CREATE PROC [dbo].[KHTT_INTERFACE_TENDER_CFHCM2]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV12]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]","944497","774923","1728382","802859","47","2378","0","907255","1","12/11/2025 7:36:03 AM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_5]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV17]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TY","898578","761897","1248145","947307","46","2351","0","857422","1","12/11/2025 7:42:05 AM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV15  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","887997","824762","1257637","837826","29","88252","5241","3812552","1","12/11/2025 2:40:47 PM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_2]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV14]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE] ","854917","690073","1214203","945901","47","2422","0","812136","1","12/11/2025 7:38:03 AM"
"master","Select TOP 1 resource_associated_entity_id,name from sys.sysdatabases   ,sys.dm_tran_locks   where resource_database_id=dbid and resource_associated_entity_id >0 GROUP BY resource_associated_entity_id,name ORDER BY COUNT(*) DESC;","793413","764193","894253","778033","12","2","0","779468","0","12/11/2025 2:56:12 PM"
