"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.CTPhatSinh_KhuyenMaiPOS","USER_TABLE","IX_CTPhatSinh_KhuyenMaiPOS","12/31/2023 11:51:01 PM","False","False","False","False","False","43036","609"
"dbo.INVTSERV14","USER_TABLE","PK_INVTSERV14","12/31/2023 11:19:10 PM","False","False","False","False","False","214393","4785"
"dbo.CTPhatSinh_KhuyenMaiPOS","USER_TABLE","PK_CTPhatSinh_KhuyenMaiPOS","12/31/2023 7:25:45 PM","False","False","False","False","False","43036","2618"
"dbo.INVTSERV15","USER_TABLE","PK_INVTSERV15","12/31/2023 7:00:00 PM","False","False","False","False","False","243508","5369"
"dbo.INVTSERV16","USER_TABLE","PK_INVTSERV16","12/31/2023 6:43:16 PM","False","False","False","False","False","225581","4999"
"dbo.INVTSERV13","USER_TABLE","PK_INVTSERV13","12/31/2023 4:04:01 PM","False","False","False","False","False","130961","3153"
"dbo.INVTSERV17","USER_TABLE","PK_INVTSERV17","12/31/2023 12:12:00 PM","False","False","False","False","False","99220","2415"
"dbo.TichLuyTrongNgay","USER_TABLE","IX_TichLuyTrongNgay","12/31/2023 6:31:28 AM","False","False","False","False","False","3693563","17471"
"dbo.TichLuyTrongNgay","USER_TABLE","PK_TichLuyTrongNgay","12/31/2023 6:31:28 AM","False","False","False","False","False","3693563","142707"
"dbo.SKU_Vendor","USER_TABLE","PK_SKU_Vendor","12/31/2023 1:00:26 AM","False","False","False","False","False","387","5"
"dbo.TichLuy","USER_TABLE","PK__TichLuy__1B7E091A","12/31/2023 1:00:17 AM","False","False","False","False","False","3693564","64765"
"dbo.CTNhanThuong","USER_TABLE","PK__CTNhanThuong__54B68676","12/31/2023 1:00:11 AM","False","False","False","False","False","1333883","49207"
"dbo.Coupon","USER_TABLE","IX_Coupon_MaThe13","12/31/2023 1:00:07 AM","False","False","False","False","False","815338","8061"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_Ten","12/31/2023 1:00:06 AM","False","False","False","False","False","3317508","14188"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_DTBan","12/31/2023 1:00:04 AM","False","False","False","False","False","3317508","10557"
"dbo.INVTSERV11","USER_TABLE","PK_INVTSERV11","12/30/2023 4:42:00 PM","False","False","False","False","False","118241","2813"
"dbo.INVTSERV10","USER_TABLE","PK_INVTSERV10","12/30/2023 4:20:36 PM","False","False","False","False","False","287488","6521"
"dbo.INVTSERV12","USER_TABLE","PK_INVTSERV12","12/30/2023 1:20:13 PM","False","False","False","False","False","191926","4420"
"dbo.CTTichLuy","USER_TABLE","IX_CTTichLuy_MaThe13","12/30/2023 1:00:01 AM","False","False","False","False","False","85352","707"
"dbo.Sync","USER_TABLE","PK_Sync","12/29/2023 1:00:16 AM","False","False","False","False","False","83390","964"
"dbo.TichLuy","USER_TABLE","IX_TichLuy_MaThe13","12/28/2023 1:00:39 AM","False","False","False","False","False","3693564","8961"
"dbo.The","USER_TABLE","IX_The_MaThe13","12/28/2023 1:00:30 AM","False","False","False","False","False","3693563","8962"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_DTDD","12/28/2023 1:00:29 AM","False","False","False","False","False","3317508","22828"
"dbo.CTPhatSinh","USER_TABLE","PK__CTPhatSnh__12E8C319","12/28/2023 1:00:25 AM","False","False","False","False","False","6074029","284474"
"dbo.CTNhanThuongTrongNgay","USER_TABLE","PK_CTNhanThuongTrongNgay","12/27/2023 1:00:15 AM","False","False","False","False","False","49069","3048"
"dbo.CTPhatSinh","USER_TABLE","IX_CTPhatSinh","12/27/2023 1:00:08 AM","False","False","False","False","False","6074029","54547"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_CMND","12/26/2023 1:00:07 AM","False","False","False","False","False","3317508","24687"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_HoLot","12/26/2023 1:00:05 AM","False","False","False","False","False","3317508","23949"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_MaThe13","12/26/2023 1:00:02 AM","False","False","False","False","False","3317508","9968"
"dbo.Coupon","USER_TABLE","IX_Coupon","12/25/2023 1:00:31 AM","False","False","False","False","False","815338","7759"
"dbo.Coupon","USER_TABLE","PK_Coupon","12/25/2023 1:00:30 AM","False","False","False","False","False","815338","30189"
"dbo.CTTichLuy","USER_TABLE","PK_CTTichLuy","12/25/2023 1:00:27 AM","False","False","False","False","False","85352","1652"
"dbo.The","USER_TABLE","PK__The__02B25B50","12/24/2023 1:00:06 AM","False","False","False","False","False","3693563","48748"
"dbo.CTKhuyenMaiPOS","USER_TABLE","PK_CTKhuyenMaiPOS","12/23/2023 1:00:00 AM","False","False","False","False","False","87","4"
"dbo.History_KhachHang","USER_TABLE","IX_History_KhachHang_DTBan","12/22/2023 1:00:02 AM","False","False","False","False","False","23239","136"
"dbo.ReportLog","USER_TABLE","PK_ReportLog","12/21/2023 1:00:34 AM","False","False","False","False","False","1877","62"
"dbo.TNDSERV17","USER_TABLE","PK_TNDSERV17","12/19/2023 7:45:47 AM","False","False","False","False","False","2778506","37206"
"dbo.CauHinhKetNoi","USER_TABLE","PK_CauHinhKetNoi","12/19/2023 1:00:36 AM","False","False","False","False","False","572","22"
"dbo.History_KhachHang","USER_TABLE","IX_History_KhachHang_DTDD","12/14/2023 1:00:09 AM","False","False","False","False","False","23239","174"
