"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","14742","189","951607","12200","954740","12240","0","12/11/2025 11:53:08 AM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","28","310","11","11055","394","11058","394","0","12/11/2025 2:25:29 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","28","56","2","2821","100","2823","100","0","12/11/2025 2:25:29 PM"
"select physical_name, 'usage' = (case type when 1 ","28","56","2","2562","91","2566","91","0","12/11/2025 2:25:29 PM"
"select top 1 substring(convert(nvarchar(22),backup","28","338128","12076","2636582","94163","1084142","38719","0","12/11/2025 2:25:29 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","28","3136","112","12233","436","12236","437","0","12/11/2025 2:25:29 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","28","56","2","1823","65","1826","65","0","12/11/2025 2:25:29 PM"
"select file_id, file_guid, size, max_size, growth,","28","56","2","5097","182","5100","182","0","12/11/2025 2:25:29 PM"
"select count(*) from ""KHTT_ST24"".sys.objects   whe","28","1596","57","72702","2596","72707","2596","0","12/11/2025 2:25:29 PM"
"select data_space_id, reservedpages = sum(a.total_","28","868","31","94489","3374","94492","3374","0","12/11/2025 2:25:29 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","28","168","6","5783","206","5789","206","0","12/11/2025 2:25:29 PM"
"select ISNULL(mirroring_role,0) from sys.database_","28","56","2","1611","57","1613","57","0","12/11/2025 2:25:29 PM"
"select ISNULL(CAST(page_verify_option AS int), -3)","28","198","7","8353","298","8356","298","0","12/11/2025 2:25:29 PM"
"select name, dbid, chsuid=substring(suser_sname(si","28","56","2","3602","128","3606","128","0","12/11/2025 2:25:29 PM"
