"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"A_Rebuild","27","0","NONE","12/31/2024 1:00:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"API_Log","193","1","NONE","12/31/2018 11:51:31 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"BonusSKU1618","0","0","NONE","12/31/2018 11:51:31 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CAMBONUS","0","1","NONE","5/31/2018 8:39:06 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CAMPGN","1","0","NONE","12/8/2020 9:25:55 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CapDo","4","1","NONE","1/1/2024 1:27:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CapDo_HinhThuc","1","1","NONE","1/1/2024 1:27:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CapLaiThe","0","1","NONE","12/22/2015 11:01:59 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinh","1","0","NONE","1/1/2024 1:27:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinh_BK","1","1","NONE","12/31/2018 9:54:32 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinh_GuiThongTin","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinh_IPStore","0","1","NONE","1/1/2024 1:27:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhChietKhau","13","1","NONE","1/1/2024 1:27:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhChietKhauPOS","1","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhChietKhauQRCode","0","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhHeThong","1","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhKetNoi","729","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhQuaTang","37","1","NONE","10/2/2024 3:17:37 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhQuaTang_BkCu","0","1","NONE","10/8/2024 2:37:27 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CauHinhSKU_LoaiDMH","97","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChiThuongCuoiNam","2449037","1","NONE","1/1/2024 1:36:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChiThuongCuoiNam_2023","2482186","0","NONE","1/1/2024 1:22:46 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CHITIET_PS","12","0","NONE","7/27/2016 8:44:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChuongTrinh","1","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ConstString1","1","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Coupon","1230594","1","NONE","1/1/2024 1:21:41 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Coupon","1230594","2","NONE","1/1/2024 1:21:41 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Coupon","1230594","3","NONE","1/1/2024 1:21:41 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTDMQuyen","130","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTDotCapThe","0","1","NONE","12/22/2015 11:01:59 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTGiaoNhan","0","1","NONE","1/1/2016 11:26:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTGiaoNhan_NhanVien","0","1","NONE","1/1/2016 11:26:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTGuiCamNang","0","1","NONE","12/22/2015 11:01:58 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTGuiSMS","0","1","NONE","12/22/2015 11:01:58 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTGuiThongTinKhachHang","0","1","NONE","12/22/2015 11:01:58 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTKhuyenMai","305","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTKhuyenMaiPOS","138","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanQuaTT","0","1","NONE","1/8/2016 3:45:39 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanThuong","2077137","1","NONE","1/1/2024 1:21:41 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanThuong_2023","0","0","NONE","1/1/2024 1:24:15 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanThuong_HoaDon","0","1","NONE","1/1/2024 1:21:41 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanThuongTrongNgay","47438","1","NONE","12/22/2015 11:01:59 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanThuongTrongNgay_2023","49069","0","NONE","1/1/2024 1:24:15 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhomQuyen","142","1","NONE","1/1/2024 1:27:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatQua","4","1","NONE","3/25/2017 12:36:27 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh","8368103","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh","8368103","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai","222068","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai01","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai01","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai02","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai02","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai03","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai03","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai04","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai04","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai05","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai05","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai06","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai06","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai07","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai07","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai08","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai08","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai09","27143","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai09","27143","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai10","40042","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai10","40042","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai11","29679","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai11","29679","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai12","0","1","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMai12","0","2","NONE","12/22/2015 11:01:57 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS","53541","1","NONE","12/22/2015 11:08:19 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS","53541","2","NONE","12/22/2015 11:08:19 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS01","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS01","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS02","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS02","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS03","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS03","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS04","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS04","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS05","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS05","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS06","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS06","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS07","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS07","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS08","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS08","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS09","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS09","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS10","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS10","0","2","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhatSinh_KhuyenMaiPOS11","0","1","NONE","12/22/2015 11:08:20 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
