"Object Name","object_id","type_desc","Statistics Name","stats_id","no_recompute","auto_created","is_incremental","is_temporary","modification_counter","rows","rows_sampled","last_updated"
"CTPhatSinh_KhuyenMaiPOS","1943677972","USER_TABLE","_WA_Sys_00000010_73DA2C14","9","False","True","False","False","820109330","8290","3863","1/3/2019 2:55:10 PM"
"CTPhatSinh_KhuyenMaiPOS","1943677972","USER_TABLE","_WA_Sys_0000000B_73DA2C14","10","False","True","False","False","819912574","7187","4194","4/27/2019 11:16:32 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_0000000B_0AF29B96","16","False","True","False","False","121058995","355744","37215","2/13/2020 3:36:13 PM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_00000013_6A50C1DA","8","False","True","False","False","77680490","6215278","132394","11/20/2018 8:56:34 AM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_00000008_11B63E6C","6","False","True","False","False","74376695","70023","70023","6/3/2019 11:17:33 AM"
"History_INVTSERV01","1735677231","USER_TABLE","_WA_Sys_00000014_6774552F","5","False","True","False","False","74335882","2205703","95123","3/4/2016 2:15:38 PM"
"History_INVTSERV01","1735677231","USER_TABLE","_WA_Sys_00000018_6774552F","24","False","True","False","False","74335780","2205703","95123","3/4/2016 2:15:53 PM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_00000013_695C9DA1","8","False","True","False","False","72880768","5827490","127544","11/20/2018 8:36:01 AM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_00000007_11B63E6C","13","False","True","False","False","67258301","208135","81644","1/8/2021 2:46:54 PM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_00000009_11B63E6C","8","False","True","False","False","67104725","361703","97608","1/12/2021 1:54:32 PM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000018_68687968","3","False","True","False","False","64074173","1884923","89410","3/4/2016 2:15:47 PM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000014_68687968","7","False","True","False","False","64074173","1884923","89410","3/4/2016 2:15:48 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000016_6E2152BE","5","False","True","False","False","63770412","1261893","80468","8/8/2020 12:09:29 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000007_6E2152BE","20","False","True","False","False","63770412","1261893","80468","8/8/2020 12:09:32 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000F_6E2152BE","12","False","True","False","False","63770412","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000E_6E2152BE","13","False","True","False","False","63770412","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000D_6E2152BE","14","False","True","False","False","63770412","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000C_6E2152BE","15","False","True","False","False","63770412","1261893","80468","8/8/2020 12:09:31 PM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_00000016_6A50C1DA","5","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:47 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_00000012_6A50C1DA","9","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:48 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_0000000F_6A50C1DA","12","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:50 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_0000000E_6A50C1DA","13","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:51 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_0000000D_6A50C1DA","14","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:51 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_0000000C_6A50C1DA","15","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:51 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_00000007_6A50C1DA","20","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:54 AM"
"History_INVTSERV04","1783677402","USER_TABLE","_WA_Sys_00000003_6A50C1DA","23","False","True","False","False","61510598","2595060","98761","4/17/2020 11:28:56 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000013_68687968","8","False","True","False","False","57253580","4616820","122875","6/23/2018 7:58:45 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_00000012_695C9DA1","9","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:06 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_0000000F_695C9DA1","12","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:07 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_0000000E_695C9DA1","13","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:07 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_0000000D_695C9DA1","14","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:08 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_0000000C_695C9DA1","15","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:08 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_00000016_695C9DA1","5","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:06 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_00000007_695C9DA1","20","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:09 AM"
"History_INVTSERV03","1767677345","USER_TABLE","_WA_Sys_00000003_695C9DA1","23","False","True","False","False","53083541","5530785","121543","4/16/2020 10:31:10 AM"
"TNDSERV12","361156432","USER_TABLE","_WA_Sys_00000008_1586CF50","6","False","True","False","False","48321337","77908","69986","6/3/2019 11:17:34 AM"
"TNDSERV12","361156432","USER_TABLE","_WA_Sys_00000009_1586CF50","8","False","True","False","False","46648923","7192","7192","1/10/2021 9:14:35 PM"
"TNDSERV15","457156774","USER_TABLE","_WA_Sys_00000008_1B3FA8A6","6","False","True","False","False","45146818","99588","90464","6/3/2019 11:17:34 AM"
"TNDSERV15","457156774","USER_TABLE","_WA_Sys_00000009_1B3FA8A6","8","False","True","False","False","42818477","7174","7174","1/11/2021 7:13:54 AM"
"TNDSERV14","425156660","USER_TABLE","_WA_Sys_00000008_19576034","6","False","True","False","False","42752318","86867","86867","6/3/2019 11:17:34 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000016_68687968","5","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:18 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000012_68687968","9","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:19 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_0000000F_68687968","12","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:20 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_0000000E_68687968","13","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:20 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_0000000D_68687968","14","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:21 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_0000000C_68687968","15","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:21 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000007_68687968","20","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:23 AM"
"History_INVTSERV02","1751677288","USER_TABLE","_WA_Sys_00000003_68687968","23","False","True","False","False","41789285","5088707","122084","3/11/2020 8:46:24 AM"
"TNDSERV14","425156660","USER_TABLE","_WA_Sys_00000009_19576034","8","False","True","False","False","40466256","15533","15533","1/11/2021 10:42:06 PM"
"TNDSERV13","393156546","USER_TABLE","_WA_Sys_00000008_176F17C2","6","False","True","False","False","40333726","83005","83005","6/3/2019 11:17:34 AM"
"TNDSERV16","489156888","USER_TABLE","_WA_Sys_00000008_1D27F118","6","False","True","False","False","38577055","77129","77129","6/3/2019 11:17:34 AM"
"TNDSERV13","393156546","USER_TABLE","_WA_Sys_00000009_176F17C2","8","False","True","False","False","38477842","6337","6337","1/10/2021 9:14:46 PM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_0000000D_11B63E6C","14","False","True","False","False","37385293","5948197","158418","8/9/2022 1:32:24 PM"
"TNDSERV16","489156888","USER_TABLE","_WA_Sys_00000009_1D27F118","8","False","True","False","False","37179552","7930","7930","1/10/2021 9:15:10 PM"
"History_INVTSERV01","1735677231","USER_TABLE","_WA_Sys_00000017_6774552F","25","False","True","False","False","36636045","383454","63369","1/6/2022 11:29:09 AM"
"TNDSERV15","457156774","USER_TABLE","_WA_Sys_0000000D_1B3FA8A6","13","False","True","False","False","34410801","5179876","145994","8/9/2022 1:32:22 PM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000015_6E2152BE","6","False","True","False","False","34277214","6769285","131353","10/11/2022 9:06:44 AM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000012_6E2152BE","9","False","True","False","False","34277214","6769285","131353","10/11/2022 9:20:42 AM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_00000011_6E2152BE","10","False","True","False","False","34277214","6769285","131353","10/11/2022 9:20:42 AM"
"History_INVTSERV08","1847677630","USER_TABLE","_WA_Sys_0000000B_6E2152BE","16","False","True","False","False","34277214","6769285","131353","10/11/2022 9:07:15 AM"
