"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"TNDSERV1","PK_TNDSERV1","1","0","1","CLUSTERED","0","False","","",""
"UpdateList","PK_UpdateList","1","0","66","CLUSTERED","0","False","","",""
"CauHinh_IPStore","PK_CauHinh_IPStore","1","0","33","CLUSTERED","0","False","","",""
"TNDSERV6","PK_TNDSERV6","1","0","1","CLUSTERED","0","False","","",""
"CauHinhChietKhau","PK_CauHinhChietKhau","1","0","58","CLUSTERED","0","False","","",""
"TNDSERV11","PK_TNDSERV11","1","0","1","CLUSTERED","0","False","","",""
"KhachHang_QuaTang_CapDo","PK_KhachHang_QuaTang_CapDo_1","1","0","141","CLUSTERED","0","False","","",""
"TNDSERV5","PK_TNDSERV5","1","0","1","CLUSTERED","0","False","","",""
"CTNhanThuong","PK__CTNhanThuong__54B68676","1","0","133","CLUSTERED","0","False","","",""
"TNDSERV12","PK_TNDSERV12","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV29","PK_TNDSERV29","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV30","PK_TNDSERV30","1","0","1","CLUSTERED","0","False","","",""
"CauHinhKetNoi","PK_CauHinhKetNoi","1","0","29","CLUSTERED","0","False","","",""
"TNDSERV18","PK_TNDSERV18","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV16","PK_TNDSERV16","1","0","4","CLUSTERED","0","False","","",""
"TinhTP","PK__TinhTP__44801EAD","1","0","438","CLUSTERED","0","False","","",""
"TNDSERV4","PK_TNDSERV4","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV26","PK_TNDSERV26","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV9","PK_TNDSERV9","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV10","PK_TNDSERV10","1","0","1","CLUSTERED","0","False","","",""
"TNDSERV15","PK_TNDSERV15","1","0","2","CLUSTERED","0","False","","",""
"TNDSERV19","PK_TNDSERV19","1","0","1","CLUSTERED","0","False","","",""
"QuanHuyen","PK__QuanHuyen__4668671F","1","0","438","CLUSTERED","0","False","","",""
"TichLuyTrongNgay","PK_TichLuyTrongNgay","1","0","532","CLUSTERED","0","False","","",""
