"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","6630","85","344252","4413","348852","4472","0","12/11/2025 11:53:08 AM"
"select ISNULL(CAST(page_verify_option AS int), -3)","28","198","7","8277","295","8281","295","0","12/11/2025 2:25:29 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","28","168","6","5720","204","5723","204","0","12/11/2025 2:25:29 PM"
"select top 1 substring(convert(nvarchar(22),backup","28","338128","12076","2563435","91551","1115306","39832","0","12/11/2025 2:25:29 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","28","56","2","2039","72","2043","72","0","12/11/2025 2:25:29 PM"
"select physical_name, 'usage' = (case type when 1 ","28","56","2","2569","91","2575","91","0","12/11/2025 2:25:29 PM"
"select ISNULL(mirroring_role,0) from sys.database_","28","56","2","1609","57","1613","57","0","12/11/2025 2:25:29 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","28","56","2","3028","108","3030","108","0","12/11/2025 2:25:29 PM"
"select data_space_id, reservedpages = sum(a.total_","28","37240","1330","157339","5619","157742","5633","0","12/11/2025 2:25:29 PM"
"select file_id, file_guid, size, max_size, growth,","28","56","2","6024","215","6030","215","0","12/11/2025 2:25:29 PM"
"select count(*) from ""ReportServer"".sys.objects   ","28","1092","39","59925","2140","59929","2140","0","12/11/2025 2:25:29 PM"
"select name, dbid, chsuid=substring(suser_sname(si","28","56","2","3748","133","3751","133","0","12/11/2025 2:25:29 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","28","3136","112","12222","436","12224","436","0","12/11/2025 2:25:29 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","28","310","11","10799","385","10803","385","0","12/11/2025 2:25:29 PM"
