"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","ConfigurationInfo","20","NONE"
"dbo","Roles","8","NONE"
"dbo","PolicyUserRole","4","NONE"
"dbo","Users","3","NONE"
"dbo","Policies","2","NONE"
"dbo","SecData","2","NONE"
"dbo","Keys","2","NONE"
"dbo","Catalog","1","NONE"
"dbo","UpgradeInfo","1","NONE"
"dbo","SubscriptionsBeingDeleted","0","NONE"
"dbo","ModelDrill","0","NONE"
"dbo","Segment","0","NONE"
"dbo","ChunkSegmentMapping","0","NONE"
"dbo","ModelPerspective","0","NONE"
"dbo","CachePolicy","0","NONE"
"dbo","SegmentedChunk","0","NONE"
"dbo","Event","0","NONE"
"dbo","Subscriptions","0","NONE"
"dbo","ActiveSubscriptions","0","NONE"
"dbo","SnapshotData","0","NONE"
"dbo","ChunkData","0","NONE"
"dbo","Notifications","0","NONE"
"dbo","Batch","0","NONE"
"dbo","Schedule","0","NONE"
"dbo","ReportSchedule","0","NONE"
"dbo","RunningJobs","0","NONE"
"dbo","ServerParametersInstance","0","NONE"
"dbo","History","0","NONE"
"dbo","ModelItemPolicy","0","NONE"
"dbo","ExecutionLogStorage","0","NONE"
"dbo","DataSource","0","NONE"
