"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.Policies","USER_TABLE","PK_Policies","12/9/2015 10:09:59 AM","False","False","False","False","False","2","2"
"dbo.UpgradeInfo","USER_TABLE","PK_UpgradeInfo","12/9/2015 9:59:59 AM","False","False","False","False","False","1","2"
"dbo.SecData","USER_TABLE","IX_SecData","12/9/2015 9:59:59 AM","False","False","False","False","False","2","4"
"dbo.Users","USER_TABLE","PK_Users","12/9/2015 9:59:59 AM","False","False","False","False","False","3","2"
"dbo.Catalog","USER_TABLE","PK_Catalog","12/9/2015 9:59:59 AM","False","False","False","False","False","1","2"
"dbo.Keys","USER_TABLE","PK_Keys","12/9/2015 9:59:58 AM","False","False","False","False","False","2","4"
"dbo.Catalog","USER_TABLE","IX_SnapshotDataId","12/9/2015 9:58:44 AM","False","False","False","False","False","1","2"
"dbo.ConfigurationInfo","USER_TABLE","IX_ConfigurationInfo","12/9/2015 9:58:44 AM","False","False","False","False","False","20","2"
"dbo.Users","USER_TABLE","IX_Users","12/9/2015 9:58:43 AM","False","False","False","False","False","3","2"
"dbo.ConfigurationInfo","USER_TABLE","PK_ConfigurationInfo","","False","False","False","False","False","20","2"
"dbo.Catalog","USER_TABLE","IX_Catalog","","False","False","False","False","False","1","2"
"dbo.Catalog","USER_TABLE","IX_Link","","False","False","False","False","False","1","2"
"dbo.Catalog","USER_TABLE","IX_Parent","","False","False","False","False","False","1","2"
"dbo.SecData","USER_TABLE","PK_SecData","","False","False","False","False","False","2","2"
"dbo.Roles","USER_TABLE","IX_Roles","","False","False","False","False","False","8","2"
"dbo.Roles","USER_TABLE","PK_Roles","","False","False","False","False","False","8","2"
"dbo.PolicyUserRole","USER_TABLE","IX_PolicyUserRole","","False","False","False","False","False","4","2"
"dbo.PolicyUserRole","USER_TABLE","PK_PolicyUserRole","","False","False","False","False","False","4","2"
