"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"History","IX_History","1","","","","","","CLUSTERED","0","False","","","",""
"History","PK_History","2","","","","","","NONCLUSTERED","0","False","","","",""
"History","IX_SnapshotDataID","3","","","","","","NONCLUSTERED","0","False","","","",""
"ConfigurationInfo","IX_ConfigurationInfo","1","","","","","","CLUSTERED","0","False","","","",""
"ConfigurationInfo","PK_ConfigurationInfo","2","","","","","","NONCLUSTERED","0","False","","","",""
"Catalog","IX_Catalog","1","","","","","","CLUSTERED","0","False","","","",""
"Catalog","PK_Catalog","2","","","","","","NONCLUSTERED","0","False","","","",""
"Catalog","IX_Link","3","","","","","","NONCLUSTERED","0","False","","","",""
"Catalog","IX_Parent","4","","","","","","NONCLUSTERED","0","False","","","",""
"Catalog","IX_SnapshotDataId","5","","","","","","NONCLUSTERED","0","False","","","",""
"UpgradeInfo","PK_UpgradeInfo","1","","","","","","CLUSTERED","0","False","","","",""
"SubscriptionsBeingDeleted","PK_SubscriptionsBeingDeleted","1","","","","","","CLUSTERED","0","False","","","",""
"ModelDrill","IX_ModelDrillModelID","1","","","","","","CLUSTERED","0","False","","","",""
"ModelDrill","PK_ModelDrill","2","","","","","","NONCLUSTERED","0","False","","","",""
"Segment","PK_Segment","1","","","","","","CLUSTERED","0","False","","","",""
"Segment","IX_SegmentMetadata","2","","","","","","NONCLUSTERED","0","False","","","",""
"ChunkSegmentMapping","PK_ChunkSegmentMapping","1","","","","","","CLUSTERED","0","False","","","",""
"ChunkSegmentMapping","UNIQ_ChunkId_StartByte","2","","","","","","NONCLUSTERED","0","False","","","",""
"ChunkSegmentMapping","IX_ChunkSegmentMapping_SegmentId","3","","","","","","NONCLUSTERED","0","False","","","",""
"ModelPerspective","IX_ModelPerspective","1","","","","","","CLUSTERED","0","False","","","",""
"CachePolicy","IX_CachePolicyReportID","1","","","","","","CLUSTERED","0","False","","","",""
"CachePolicy","PK_CachePolicy","2","","","","","","NONCLUSTERED","0","False","","","",""
"SegmentedChunk","PK_SegmentedChunk","1","","","","","","CLUSTERED","0","False","","","",""
"SegmentedChunk","IX_ChunkId_SnapshotDataId","2","","","","","","NONCLUSTERED","0","False","","","",""
"SegmentedChunk","UNIQ_SnapshotChunkMapping","3","","","","","","NONCLUSTERED","0","False","","","",""
"Users","IX_Users","1","","","","","","CLUSTERED","0","False","","","",""
"Users","PK_Users","2","","","","","","NONCLUSTERED","0","False","","","",""
"ExecutionLogStorage","PK__Executio__05F5D74515DA3E5D","1","","","","","","CLUSTERED","0","False","","","",""
"ExecutionLogStorage","IX_ExecutionLog","2","","","","","","NONCLUSTERED","0","False","","","",""
"DataSource","PK_DataSource","1","","","","","","CLUSTERED","0","False","","","",""
"DataSource","IX_DataSourceItemID","2","","","","","","NONCLUSTERED","0","False","","","",""
"DataSource","IX_DataSourceSubscriptionID","3","","","","","","NONCLUSTERED","0","False","","","",""
"Policies","PK_Policies","1","","","","","","CLUSTERED","0","False","","","",""
"ModelItemPolicy","IX_ModelItemPolicy","1","","","","","","CLUSTERED","0","False","","","",""
"ModelItemPolicy","PK_ModelItemPolicy","2","","","","","","NONCLUSTERED","0","False","","","",""
"SecData","IX_SecData","1","","","","","","CLUSTERED","0","False","","","",""
"SecData","PK_SecData","2","","","","","","NONCLUSTERED","0","False","","","",""
"Roles","IX_Roles","1","","","","","","CLUSTERED","0","False","","","",""
"Roles","PK_Roles","2","","","","","","NONCLUSTERED","0","False","","","",""
"PolicyUserRole","IX_PolicyUserRole","1","","","","","","CLUSTERED","0","False","","","",""
"PolicyUserRole","PK_PolicyUserRole","2","","","","","","NONCLUSTERED","0","False","","","",""
"Event","PK_Event","1","","","","","","CLUSTERED","0","False","","","",""
"Event","IX_Event2","2","","","","","","NONCLUSTERED","0","False","","","",""
"Event","IX_Event3","3","","","","","","NONCLUSTERED","0","False","","","",""
"Event","IX_Event_TimeEntered","4","","","","","","NONCLUSTERED","0","False","","","",""
"Subscriptions","PK_Subscriptions","1","","","","","","CLUSTERED","0","False","","","",""
"ActiveSubscriptions","PK_ActiveSubscriptions","1","","","","","","CLUSTERED","0","False","","","",""
"SnapshotData","PK_SnapshotData","1","","","","","","CLUSTERED","0","False","","","",""
"SnapshotData","IX_SnapshotCleaning","2","","","","","","NONCLUSTERED","0","False","","","",""
"ChunkData","IX_ChunkData","1","","","","","","CLUSTERED","0","False","","","",""
"ChunkData","PK_ChunkData","2","","","","","","NONCLUSTERED","0","False","","","",""
"Notifications","PK_Notifications","1","","","","","","CLUSTERED","0","False","","","",""
"Notifications","IX_Notifications","2","","","","","","NONCLUSTERED","0","False","","","",""
"Notifications","IX_Notifications2","3","","","","","","NONCLUSTERED","0","False","","","",""
"Notifications","IX_Notifications3","4","","","","","","NONCLUSTERED","0","False","","","",""
"Batch","IX_Batch","1","","","","","","CLUSTERED","0","False","","","",""
"Batch","IX_Batch_1","2","","","","","","NONCLUSTERED","0","False","","","",""
"Schedule","PK_ScheduleID","1","","","","","","CLUSTERED","0","False","","","",""
"Schedule","IX_Schedule","2","","","","","","NONCLUSTERED","0","False","","","",""
"ReportSchedule","","0","","","","","","HEAP","0","False","","","",""
"ReportSchedule","IX_ReportSchedule_ReportID","2","","","","","","NONCLUSTERED","0","False","","","",""
"ReportSchedule","IX_ReportSchedule_ScheduleID","3","","","","","","NONCLUSTERED","0","False","","","",""
"ReportSchedule","IX_ReportSchedule_SubscriptionID","4","","","","","","NONCLUSTERED","0","False","","","",""
"RunningJobs","PK_RunningJobs","1","","","","","","CLUSTERED","0","False","","","",""
"RunningJobs","IX_RunningJobsStatus","2","","","","","","NONCLUSTERED","0","False","","","",""
"ServerParametersInstance","PK_ServerParametersInstance","1","","","","","","CLUSTERED","0","False","","","",""
"ServerParametersInstance","IX_ServerParametersInstanceExpiration","2","","","","","","NONCLUSTERED","0","False","","","",""
"Keys","PK_Keys","1","","","","","","CLUSTERED","0","False","","","",""
