"Database Name","Short Query Text","Avg Elapsed Time","min_elapsed_time","max_elapsed_time","last_elapsed_time","Execution Count","Avg Logical Reads","Avg Physical Reads","Avg Worker Time","Has Missing Index","Creation Time"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_3]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV15]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]","4123158","3063728","5584232","3205460","48","821973","0","3988857","0","12/11/2025 7:40:02 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ				INSERT INTO [KHTT_ST].dbo.[INVTSERV10]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYPE] 			,SKU_RE","3243268","2548560","5356117","3664735","49","393100","0","3128026","0","12/11/2025 7:30:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFHCM2]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ_CUM1				INSERT INTO [KHTT_ST].dbo.[INVTSERV12]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TY","2601339","2011309","5379820","2593849","49","278069","0","2522723","0","12/11/2025 7:36:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_3]ASBEGIN-- D?ng INVTSRV15 - Tu TOPOS_CFCQ_CUM4 				INSERT INTO [KHTT_ST].dbo.[INVTSERV15]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[","2113101","1613673","7330622","2295746","48","4383","0","2034715","1","12/11/2025 7:40:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_2]ASBEGIN-- D?ng INVTSRV14 - Tu TOPOS_CFCQ_CUM3 - srv cloud cum 4				INSERT INTO [KHTT_ST].dbo.[INVTSERV14]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,R","2080722","1664206","3570726","1871417","49","271676","0","2029318","0","12/11/2025 7:38:01 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_4]ASBEGIN-- D?ng INVTSRV16 - Tu TOPOS_CFCQ_CUM5 				INSERT INTO [KHTT_ST].dbo.[INVTSERV16]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			","2024492","1592620","3462263","1854840","48","3950","0","1855603","1","12/11/2025 7:42:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_5]ASBEGIN-- D?ng INVTSRV17 - Tu TOPOS_CFCQ_CUM5 				INSERT INTO [KHTT_ST].dbo.[INVTSERV17]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 	","1868416","1380254","4552375","1608290","48","3267","0","1692241","1","12/11/2025 7:42:00 AM"
"KHTT_ST","(@1 varchar(8000))SELECT * FROM [UpdateList] WHERE [AppType]=@1","1650721","121297","4395613","1924793","16","1100","0","9152","0","12/11/2025 11:43:44 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFHN]ASBEGIN-- D?ng INVTSRV13 - Tu TOPOS_CFCQ_CUMHN				INSERT INTO [KHTT_ST].dbo.[INVTSERV13]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYP","1646046","1376621","2331049","1725696","49","118042","1178","1339619","0","12/11/2025 7:34:00 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFTinh]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ_CUM1				INSERT INTO [KHTT_ST].dbo.[INVTSERV11]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYPE","1431958","1019457","2465539","1175223","49","2871","0","1253480","1","12/11/2025 7:32:00 AM"
