"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"ChunkData","0","1","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChunkData","0","2","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChunkSegmentMapping","0","1","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChunkSegmentMapping","0","2","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ChunkSegmentMapping","0","3","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ExecutionCache","0","1","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ExecutionCache","0","2","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ExecutionCache","0","3","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"PersistedStream","0","1","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Segment","0","1","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Segment","0","2","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SegmentedChunk","0","1","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SegmentedChunk","0","2","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SegmentedChunk","0","3","NONE","12/9/2015 9:58:43 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SessionData","0","1","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SessionData","0","2","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SessionData","0","3","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SessionLock","0","1","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SnapshotData","0","1","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SnapshotData","0","2","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"SnapshotData","0","3","NONE","12/9/2015 9:58:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
