"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"ExecutionCache","IX_ExecutionCache","1","","","CLUSTERED","0","False","","",""
"ExecutionCache","PK_ExecutionCache","2","","","NONCLUSTERED","0","False","","",""
"ExecutionCache","IX_SnapshotDataID","3","","","NONCLUSTERED","0","False","","",""
"SnapshotData","PK_SnapshotData","1","","","CLUSTERED","0","False","","",""
"SnapshotData","IX_SnapshotCleaning","2","","","NONCLUSTERED","0","False","","",""
"SnapshotData","IS_SnapshotExpiration","3","","","NONCLUSTERED","0","False","","",""
"ChunkData","IX_ChunkData","1","","","CLUSTERED","0","False","","",""
"ChunkData","PK_ChunkData","2","","","NONCLUSTERED","0","False","","",""
"PersistedStream","PK_PersistedStream","1","","","CLUSTERED","0","False","","",""
"Segment","PK_Segment","1","","","CLUSTERED","0","False","","",""
"Segment","IX_SegmentMetadata","2","","","NONCLUSTERED","0","False","","",""
"ChunkSegmentMapping","PK_ChunkSegmentMapping","1","","","CLUSTERED","0","False","","",""
"ChunkSegmentMapping","UNIQ_ChunkId_StartByte","2","","","NONCLUSTERED","0","False","","",""
"ChunkSegmentMapping","IX_ChunkSegmentMapping_SegmentId","3","","","NONCLUSTERED","0","False","","",""
"SegmentedChunk","PK_SegmentedChunk","1","","","CLUSTERED","0","False","","",""
"SegmentedChunk","IX_ChunkId_SnapshotDataId","2","","","NONCLUSTERED","0","False","","",""
"SegmentedChunk","UNIQ_SnapshotChunkMapping","3","","","NONCLUSTERED","0","False","","",""
"SessionLock","IDX_SessionLock","1","","","CLUSTERED","0","False","","",""
"SessionData","IDX_SessionData","1","","","CLUSTERED","0","False","","",""
"SessionData","IX_SessionCleanup","2","","","NONCLUSTERED","0","False","","",""
"SessionData","IX_SessionSnapshotID","3","","","NONCLUSTERED","0","False","","",""
