"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","5928","76","412697","5290","414228","5310","0","12/11/2025 11:53:08 AM"
"select ISNULL(CAST(page_verify_option AS int), -3)","28","198","7","7723","275","7726","275","0","12/11/2025 2:25:30 PM"
"select count(*) from ""SDI_CFNQ"".sys.objects   wher","28","924","33","54344","1940","54346","1940","0","12/11/2025 2:25:30 PM"
"select file_id, file_guid, size, max_size, growth,","28","56","2","5696","203","5702","203","0","12/11/2025 2:25:30 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","28","56","2","2719","97","2722","97","0","12/11/2025 2:25:30 PM"
"select top 1 substring(convert(nvarchar(22),backup","28","84","3","3028","108","3034","108","0","12/11/2025 2:25:30 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","28","3752","134","14187","506","14190","506","0","12/11/2025 2:25:30 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","28","56","2","2238","79","2240","80","0","12/11/2025 2:25:30 PM"
"select physical_name, 'usage' = (case type when 1 ","28","56","2","1526","54","1529","54","0","12/11/2025 2:25:30 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","28","310","11","11100","396","11105","396","0","12/11/2025 2:25:30 PM"
"select name, dbid, chsuid=substring(suser_sname(si","28","56","2","3328","118","3330","118","0","12/11/2025 2:25:30 PM"
"select ISNULL(mirroring_role,0) from sys.database_","28","56","2","1636","58","1639","58","0","12/11/2025 2:25:30 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","28","168","6","5710","203","5714","204","0","12/11/2025 2:25:30 PM"
"select data_space_id, reservedpages = sum(a.total_","28","37212","1329","154293","5510","154571","5520","0","12/11/2025 2:25:30 PM"
