"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","INVMST","455771","NONE"
"dbo","INVEVT","310234","NONE"
"dbo","INVEVT_220_S28","48625","NONE"
"dbo","INVEVT_220","45549","NONE"
"dbo","INVEVT_Full","18731","NONE"
"dbo","INVDPT","10274","NONE"
"dbo","DMCF_Gui_main","9432","NONE"
"dbo","INVSET","9272","NONE"
"dbo","VENDOR","7717","NONE"
"dbo","CF_Add","5260","NONE"
"dbo","DMCF_Gui_Old","4835","NONE"
"dbo","INVEVT_NQ_MST","768","NONE"
"dbo","INVEVT_Tmp","768","NONE"
"dbo","Hieu_invevt","586","NONE"
"dbo","INVEVT_HieuTest","506","NONE"
"dbo","INVTSERV31","51","NONE"
"dbo","DMCF_Gui","0","NONE"
