"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"CF_Add","5260","0","NONE","8/31/2016 9:02:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"DMCF_Gui","0","0","NONE","8/31/2016 9:03:44 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"DMCF_Gui_main","9432","0","NONE","8/31/2016 9:11:18 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"DMCF_Gui_Old","4835","0","NONE","8/9/2016 9:16:28 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Hieu_invevt","586","0","NONE","8/29/2016 5:16:05 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVDPT","10274","0","NONE","8/4/2016 11:09:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT","310234","0","NONE","8/27/2016 4:00:13 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT_220","45549","0","NONE","8/25/2016 10:23:45 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT_220_S28","48625","0","NONE","8/30/2016 9:48:56 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT_Full","18731","0","NONE","8/4/2016 11:54:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT_HieuTest","506","0","NONE","8/29/2016 1:34:14 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT_NQ_MST","768","0","NONE","8/29/2016 12:32:02 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVEVT_Tmp","768","0","NONE","8/29/2016 12:32:10 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVMST","455771","0","NONE","8/25/2016 11:26:00 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVSET","9272","0","NONE","8/25/2016 11:28:25 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"INVTSERV31","51","1","NONE","8/10/2016 2:44:25 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"VENDOR","7717","0","NONE","8/25/2016 11:17:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
