"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"INVEVT_Full","","0","","","HEAP","0","False","","",""
"DMCF_Gui_Old","","0","","","HEAP","0","False","","",""
"INVTSERV31","PK_INVTSERV1_1","1","","","CLUSTERED","0","False","","",""
"INVEVT_220","","0","","","HEAP","0","False","","",""
"VENDOR","","0","","","HEAP","0","False","","",""
"INVMST","","0","","","HEAP","0","False","","",""
"INVSET","","0","","","HEAP","0","False","","",""
"INVEVT","","0","","","HEAP","0","False","","",""
"INVEVT_NQ_MST","","0","","","HEAP","0","False","","",""
"INVEVT_Tmp","","0","","","HEAP","0","False","","",""
"INVEVT_HieuTest","","0","","","HEAP","0","False","","",""
"Hieu_invevt","","0","","","HEAP","0","False","","",""
"INVEVT_220_S28","","0","","","HEAP","0","False","","",""
"CF_Add","","0","","","HEAP","0","False","","",""
"DMCF_Gui","","0","","","HEAP","0","False","","",""
"DMCF_Gui_main","","0","","","HEAP","0","False","","",""
"INVDPT","","0","","","HEAP","0","False","","",""
