"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","10140","130","566675","7265","568217","7284","0","12/11/2025 11:53:08 AM"
"select data_space_id, reservedpages = sum(a.total_","28","476","17","96438","3444","96440","3444","0","12/11/2025 2:25:30 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","28","168","6","5614","200","5620","200","0","12/11/2025 2:25:30 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","28","56","2","1770","63","1772","63","0","12/11/2025 2:25:30 PM"
"select name, dbid, chsuid=substring(suser_sname(si","28","56","2","2934","104","2936","104","0","12/11/2025 2:25:30 PM"
"select count(*) from ""SGCReport"".sys.objects   whe","28","1456","52","67820","2422","67823","2422","0","12/11/2025 2:25:30 PM"
"select file_id, file_guid, size, max_size, growth,","28","56","2","4711","168","4716","168","0","12/11/2025 2:25:30 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","28","310","11","10567","377","10571","377","0","12/11/2025 2:25:30 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","28","56","2","2697","96","2700","96","0","12/11/2025 2:25:30 PM"
"select top 1 substring(convert(nvarchar(22),backup","28","84","3","2144","76","2146","76","0","12/11/2025 2:25:30 PM"
"select ISNULL(CAST(page_verify_option AS int), -3)","28","198","7","7649","273","7650","273","0","12/11/2025 2:25:30 PM"
"select physical_name, 'usage' = (case type when 1 ","28","56","2","1474","52","1476","52","0","12/11/2025 2:25:30 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","28","3752","134","14123","504","14128","504","0","12/11/2025 2:25:30 PM"
"select ISNULL(mirroring_role,0) from sys.database_","28","56","2","1577","56","1580","56","0","12/11/2025 2:25:30 PM"
