"Schema Name","Table Name","Index Name","index_id","is_disabled","is_hypothetical","has_filter","fill_factor","Total Writes","Total Reads","Difference"
"dbo","MSmerge_genhistory","nc4MSmerge_genhistory","4","False","False","False","0","49454","1185","48269"
"dbo","MSmerge_genhistory","nc2MSmerge_genhistory","3","False","False","False","0","51991","20852","31139"
"dbo","MSmerge_sessions","nc4MSmerge_sessions","5","False","False","False","0","25868","0","25868"
"dbo","MSmerge_history","nc2MSmerge_history","3","False","False","False","0","14119","0","14119"
"dbo","MSmerge_sessions","nc3MSmerge_sessions","4","False","False","False","0","12934","0","12934"
"dbo","MSmerge_generation_partition_mappings","nc1MSmerge_generation_partition_mappings","2","False","False","False","0","11026","1050","9976"
"dbo","MSmerge_contents","nc4MSmerge_contents","3","False","False","False","0","6051","40","6011"
"dbo","MSmerge_sessions","nc2MSmerge_sessions","3","False","False","False","0","2370","0","2370"
"dbo","MSmerge_sessions","nc1MSmerge_sessions","2","False","False","False","0","2370","0","2370"
"dbo","MSmerge_articlehistory","nc1MSmerge_articlehistory","2","False","False","False","0","1898","713","1185"
"dbo","MSmerge_current_partition_mappings","ncMSmerge_current_partition_mappings","2","False","False","False","0","210","0","210"
"dbo","MSmerge_past_partition_mappings","nc1MSmerge_past_partition_mappings","2","False","False","False","0","210","0","210"
