"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact","Table Name","Table Rows"
"2054.53","11/22/2025 8:14:20 AM","[SGCReport].[dbo].[LichSuCapTheTT]","3","1","[MaThe13], [MaCapDo]","[Loai]","","49","57","36.05","99.98","LichSuCapTheTT","2560291"
"2052.89","11/22/2025 8:14:20 AM","[SGCReport].[dbo].[LichSuCapTheTT]","3","2","[MaThe13]","[Loai]","","49","57","36.05","99.9","LichSuCapTheTT","2560291"
"1606.02","11/22/2025 8:14:42 AM","[SGCReport].[dbo].[LichSuCapTheTT]","3","2","[MaThe13]","","","35","44","36.75","99.31","LichSuCapTheTT","2560291"
"113.99","8/20/2025 9:55:00 AM","[SGCReport].[dbo].[MonthlySelling_Report072025]","3","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [STDK]","1","2","57.11","99.8","MonthlySelling_Report072025","922192"
"107.64","4/14/2025 11:01:20 AM","[SGCReport].[dbo].[MonthlySelling_Report032025]","3","3","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","2","2","53.89","99.88","MonthlySelling_Report032025","871013"
"103.30","5/6/2025 10:19:02 AM","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","2","2","51.76","99.78","MonthlySelling_Report042025","835767"
"98.74","5/21/2025 2:17:59 PM","[SGCReport].[dbo].[MonthlySelling_Report012025]","1","1","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","2","2","49.44","99.87","MonthlySelling_Report012025","798991"
"65.66","12/1/2025 5:00:32 AM","[SGCReport].[dbo].[MonthlySelling_Report112025]","1","1","[ID]","","","1","1","318.11","20.64","MonthlySelling_Report112025","962426"
"65.03","11/1/2025 5:00:28 AM","[SGCReport].[dbo].[MonthlySelling_Report102025]","1","1","[ID]","","","1","1","353.40","18.4","MonthlySelling_Report102025","952514"
"63.18","10/1/2025 5:00:31 AM","[SGCReport].[dbo].[MonthlySelling_Report092025]","2","1","[ID]","","","1","1","390.74","16.17","MonthlySelling_Report092025","924630"
"62.22","10/13/2025 10:07:03 AM","[SGCReport].[dbo].[MonthlySelling_Report092025]","2","1","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","1","1","62.34","99.82","MonthlySelling_Report092025","924630"
"58.86","9/1/2025 5:00:29 AM","[SGCReport].[dbo].[MonthlySelling_Report082025]","1","1","[ID]","","","1","1","348.30","16.9","MonthlySelling_Report082025","937729"
"57.99","8/1/2025 5:00:33 AM","[SGCReport].[dbo].[MonthlySelling_Report072025]","3","1","[ID]","","","1","1","401.60","14.44","MonthlySelling_Report072025","922192"
"56.98","8/20/2025 9:54:46 AM","[SGCReport].[dbo].[MonthlySelling_Report072025]","3","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [TenQuanHuyen], [TenTP]","1","1","57.11","99.77","MonthlySelling_Report072025","922192"
"54.88","7/1/2025 5:00:24 AM","[SGCReport].[dbo].[MonthlySelling_Report062025]","1","1","[ID]","","","1","1","341.09","16.09","MonthlySelling_Report062025","873833"
"54.73","6/1/2025 5:00:27 AM","[SGCReport].[dbo].[MonthlySelling_Report052025]","1","1","[ID]","","","1","1","319.30","17.14","MonthlySelling_Report052025","871403"
"53.82","4/23/2025 9:52:16 AM","[SGCReport].[dbo].[MonthlySelling_Report032025]","3","3","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [STDK]","1","1","53.89","99.88","MonthlySelling_Report032025","871013"
"53.81","4/23/2025 9:42:05 AM","[SGCReport].[dbo].[MonthlySelling_Report032025]","3","3","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [TenQuanHuyen], [TenTP]","1","1","53.89","99.86","MonthlySelling_Report032025","871013"
"52.53","5/1/2025 5:00:26 AM","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","1","[ID]","","","1","1","367.10","14.31","MonthlySelling_Report042025","835767"
"51.64","5/6/2025 10:19:28 AM","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [TenQuanHuyen], [TenTP]","1","1","51.77","99.75","MonthlySelling_Report042025","835767"
"51.48","5/6/2025 10:34:25 AM","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","1","[STDK]","","[MaThe13], [TongTienHD], [MaCapDo], [HoLot], [Ten], [GioiTinh], [SoNha], [TenDuong], [DTDD], [DTBan], [Email], [TenPhuongXa], [TenQuanHuyen], [TenTP]","1","1","52.86","97.39","MonthlySelling_Report042025","835767"
