"Schema Name","Object Name","index_id","Buffer size(MB)","BufferCount","Row Count","Compression Type"
"dbo","MonthlySelling_Report112025","0","591.80","75750","962426","NONE"
"dbo","LichSuCapTheTT","1","338.91","43381","2560291","NONE"
"dbo","MonthlySelling_Report082025","0","235.57","30153","937729","NONE"
"dbo","MonthlySelling_Report102025","0","184.72","23644","952514","NONE"
"dbo","MonthlySelling_Report092025","0","123.91","15861","924630","NONE"
"dbo","TichLuy112025","0","25.47","3260","224799","NONE"
"dbo","Monthly_Promotion112025","0","18.54","2373","26070","NONE"
"dbo","LichSuCapTheTT","2","17.00","2176","2560291","NONE"
"dbo","TichLuy082025","0","11.28","1444","177264","NONE"
"dbo","Monthly_Promotion082025","0","10.20","1305","31129","NONE"
"dbo","MSmerge_contents","1","3.91","501","9580","NONE"
"dbo","Monthly_Promotion092025","0","2.43","311","37200","NONE"
"dbo","Monthly_Promotion102025","0","2.36","302","32469","NONE"
"dbo","MSmerge_contents","3","2.09","267","9580","NONE"
"dbo","TichLuy092025","0","2.02","259","189210","NONE"
"dbo","TichLuy102025","0","1.88","240","209104","NONE"
"dbo","Monthly_Promotion072025","0","1.78","228","41137","NONE"
"dbo","MSmerge_genhistory","2","1.55","199","1245","NONE"
"dbo","TichLuy072025","0","1.52","195","169308","NONE"
"dbo","MSmerge_contents","4","1.42","182","9580","NONE"
"dbo","MSmerge_contents","2","1.37","175","9580","NONE"
"dbo","MonthlySelling_Report012025","0","0.66","84","798991","NONE"
"dbo","MonthlySelling_Report032025","0","0.61","78","871013","NONE"
"dbo","MonthlySelling_Report062024","0","0.55","70","960306","NONE"
"dbo","MonthlySelling_Report022025","0","0.52","66","695633","NONE"
"dbo","MonthlySelling_Report102024","0","0.51","65","938992","NONE"
"dbo","MonthlySelling_Report072024","0","0.49","63","961788","NONE"
"dbo","MonthlySelling_Report052024","0","0.48","61","1000193","NONE"
"dbo","MonthlySelling_Report042025","0","0.48","61","835767","NONE"
"dbo","MonthlySelling_Report082024","0","0.45","58","968432","NONE"
"dbo","MonthlySelling_Report092024","0","0.45","58","877623","NONE"
"dbo","MonthlySelling_Report122024","0","0.45","57","886925","NONE"
"dbo","CTPhieuQT","0","0.42","54","1198451","NONE"
"dbo","MonthlySelling_Report042024","0","0.38","48","944238","NONE"
"dbo","MonthlySelling_Report052025","0","0.34","44","871403","NONE"
"dbo","MSmerge_genhistory","1","0.34","43","1245","NONE"
"dbo","MonthlySelling_Report112024","0","0.34","43","873309","NONE"
"dbo","MonthlySelling_Report062025","0","0.33","42","873833","NONE"
"dbo","MonthlySelling_Report112023","0","0.26","33","1003632","NONE"
"dbo","MSmerge_genhistory","3","0.23","30","1245","NONE"
"dbo","MonthlySelling_Report102023","0","0.21","27","1043805","NONE"
"dbo","MonthlySelling_Report072023","0","0.20","25","997043","NONE"
"dbo","MonthlySelling_Report092023","0","0.20","25","994610","NONE"
"dbo","MSmerge_genhistory","4","0.19","24","1245","NONE"
"dbo","MonthlySelling_Report082023","0","0.13","17","1026459","NONE"
"dbo","TichLuy102024","0","0.12","15","181092","NONE"
"dbo","TichLuy072024","0","0.11","14","163345","NONE"
"dbo","MSmerge_history","1","0.10","13","70","NONE"
"dbo","SGC_DocumentDetail","0","0.09","12","175","NONE"
"dbo","Monthly_Promotion062024","0","0.09","12","31749","NONE"
"dbo","TongHopSoLuongKhachHang_TheoDiaBan","0","0.09","12","14299","NONE"
"dbo","Monthly_Promotion122024","0","0.09","11","37648","NONE"
"dbo","TichLuy052023","0","0.08","10","51730","NONE"
"dbo","CTPhieuQT","2","0.08","10","1198451","NONE"
"dbo","TichLuy112024","0","0.07","9","184990","NONE"
"dbo","Monthly_Promotion092023","0","0.07","9","16973","NONE"
"dbo","Monthly_Promotion012025","0","0.07","9","32083","NONE"
"dbo","TichLuy062024","0","0.07","9","155396","NONE"
"dbo","Monthly_Promotion042024","0","0.07","9","40831","NONE"
"dbo","MonthlySelling_Report022024","0","0.07","9","716600","NONE"
"dbo","MonthlySelling_Report032024","0","0.07","9","953067","NONE"
"dbo","ADDWinDSS_PMark","0","0.06","8","780000","NONE"
"dbo","TichLuy112023","0","0.06","8","144868","NONE"
"dbo","TichLuy012025","0","0.05","7","146049","NONE"
"dbo","Monthly_Promotion032022","0","0.05","7","43827","NONE"
"dbo","Monthly_Promotion092024","0","0.05","7","27143","NONE"
"dbo","CTDoiCapDo","0","0.05","7","751","NONE"
"dbo","History_XemBaoCao","1","0.05","6","152","NONE"
"dbo","MonthlySelling_Report072025","0","0.05","6","922192","NONE"
"dbo","TichLuy032024","0","0.05","6","148702","NONE"
"dbo","SGC_ServiceSendData","1","0.05","6","135","NONE"
"dbo","SGC_ADD_Sogia_TV","0","0.04","5","321506","NONE"
"dbo","MonthlySelling_Report032023","0","0.04","5","963089","NONE"
"dbo","TichLuy052024","0","0.04","5","151453","NONE"
"dbo","TichLuy022024","0","0.04","5","145174","NONE"
"dbo","Monthly_Promotion012024","0","0.04","5","58","NONE"
"dbo","LOAI_DMKH_DOT1","0","0.04","5","483208","NONE"
"dbo","POLLC8","0","0.04","5","822","NONE"
"dbo","TongHopSoLuongKhachHang","0","0.04","5","161","NONE"
"dbo","Monthly_Promotion092022","0","0.04","5","37532","NONE"
"dbo","TichLuy032025","0","0.04","5","153950","NONE"
"dbo","SGC_Attachment","0","0.04","5","1","NONE"
"dbo","TichLuy052025","0","0.04","5","160759","NONE"
"dbo","Monthly_Promotion052025","0","0.04","5","29250","NONE"
"dbo","TichLuy092023","0","0.04","5","130570","NONE"
"dbo","TichLuy042025","0","0.03","4","163880","NONE"
"dbo","MSmerge_history","2","0.03","4","70","NONE"
"dbo","MSmerge_history","3","0.03","4","70","NONE"
"dbo","TichLuy072023","0","0.03","4","116205","NONE"
"dbo","Monthly_Promotion032025","0","0.03","4","20820","NONE"
"dbo","Monthly_Promotion082024","0","0.03","4","32291","NONE"
"dbo","TichLuy042024","0","0.03","4","147494","NONE"
"dbo","TichLuy012024","0","0.03","4","142842","NONE"
"dbo","Monthly_Promotion032023","0","0.03","4","27794","NONE"
"dbo","TichLuy022023","0","0.03","4","43909","NONE"
"dbo","TichLuy032023","0","0.03","4","47472","NONE"
"dbo","Monthly_Promotion102024","0","0.03","4","40042","NONE"
"dbo","ScaleAdHanDung","0","0.02","3","6509","NONE"
"dbo","MSmerge_tombstone","1","0.02","3","0","NONE"
"dbo","MSmerge_tombstone","2","0.02","3","0","NONE"
"dbo","Monthly_Promotion072024","0","0.02","3","41008","NONE"
"dbo","MonthlySelling_Report062023","0","0.02","3","937532","NONE"
"dbo","SGC_Feedback","0","0.02","3","84","NONE"
"dbo","Temp","0","0.02","3","292","NONE"
"dbo","MonthlySelling_Report012024","0","0.02","2","976554","NONE"
"dbo","Monthly_Promotion102023","0","0.02","2","28458","NONE"
"dbo","Monthly_Promotion052023","0","0.02","2","11707","NONE"
"dbo","MonthlySelling_Report052023","0","0.02","2","969226","NONE"
"dbo","SGC_ApplicationItem","0","0.02","2","40","NONE"
"dbo","MSmerge_articlehistory","1","0.02","2","5","NONE"
"dbo","MSmerge_articlehistory","2","0.02","2","5","NONE"
"dbo","TichLuy022025","0","0.02","2","152001","NONE"
"dbo","MonthlySelling_Report072022","0","0.02","2","930779","NONE"
"dbo","Monthly_Promotion062022","0","0.02","2","23408","NONE"
"dbo","MonthlySelling_Report092022","0","0.02","2","944699","NONE"
"dbo","DoiCapDo","1","0.02","2","1","NONE"
"dbo","MSmerge_sessions","1","0.02","2","11","NONE"
"dbo","MSmerge_sessions","2","0.02","2","11","NONE"
"dbo","MSmerge_sessions","3","0.02","2","11","NONE"
"dbo","MSmerge_sessions","4","0.02","2","11","NONE"
"dbo","MSmerge_sessions","5","0.02","2","11","NONE"
"dbo","MonthlySelling_Report022022","0","0.02","2","595621","NONE"
"dbo","ASthi","0","0.02","2","4","NONE"
"dbo","Monthly_Promotion022024","0","0.02","2","58","NONE"
"dbo","Monthly_Promotion032024","0","0.02","2","11629","NONE"
"dbo","KhachHangLenCapDo","0","0.02","2","31","NONE"
"dbo","KhachHangDangKyMoi","0","0.02","2","106","NONE"
"dbo","TichLuy012023","0","0.02","2","41158","NONE"
"dbo","MonthlySelling_Report022023","0","0.01","1","835420","NONE"
"dbo","SGC_ApplicationItemBK2016","0","0.01","1","36","NONE"
"dbo","Monthly_Promotion022023","0","0.01","1","33350","NONE"
"dbo","CTDonDatHang","0","0.01","1","6","NONE"
"dbo","SGC_AttachmentBK2016","0","0.01","1","2","NONE"
"dbo","MSsnapshotdeliveryprogress","3","0.01","1","0","NONE"
"dbo","MonthlySelling_Report042023","0","0.01","1","965562","NONE"
"dbo","DANHSACH_QUATET","1","0.01","1","1","NONE"
"dbo","Monthly_Promotion042023","0","0.01","1","24709","NONE"
"dbo","TichLuy042023","0","0.01","1","49079","NONE"
"dbo","MonthlySelling_Report112021","0","0.01","1","819203","NONE"
"dbo","SieuThi","0","0.01","1","128","NONE"
"dbo","ctphieuqt_bk","0","0.01","1","25617","NONE"
"dbo","CBCNV","0","0.01","1","5360","NONE"
"dbo","AQuaTet_28122012","0","0.01","1","483416","NONE"
"dbo","TichLuy012022","0","0.01","1","58863","NONE"
"dbo","SieuthiKtra","0","0.01","1","118","NONE"
"dbo","ADMMATHEPRICECALOGY_SGC","0","0.01","1","304","NONE"
"dbo","HDD","0","0.01","1","1","NONE"
"dbo","CBCNV-VIP","0","0.01","1","3508","NONE"
"dbo","TichLuy092022","0","0.01","1","75684","NONE"
"dbo","TichLuy082024","0","0.01","1","167283","NONE"
"dbo","TichLuy052022","0","0.01","1","60447","NONE"
"dbo","TichLuy062022","0","0.01","1","64145","NONE"
"dbo","POllC8_SG","0","0.01","1","8877","NONE"
"dbo","LOAI_DMKH_DOT1_1den12","0","0.01","1","120000","NONE"
"dbo","dot1_12","0","0.01","1","10000","NONE"
"dbo","QueryResults419285","0","0.01","1","10005","NONE"
"dbo","Monthly_Promotion032013","0","0.01","1","18811","NONE"
"dbo","TichLu","0","0.01","1","35362","NONE"
"dbo","TichLuy062023","0","0.01","1","54422","NONE"
"dbo","Monthly_Promotion082023","0","0.01","1","9","NONE"
"dbo","SGC_DocumentIssue","0","0.01","1","155","NONE"
"dbo","TichLuy082023","0","0.01","1","123452","NONE"
"dbo","SGC_DocumentDetail","2","0.01","1","175","NONE"
"dbo","SGC_Attachment","2","0.01","1","1","NONE"
"dbo","Monthly_Promotion022025","0","0.01","1","26088","NONE"
"dbo","Monthly_Promotion072023","0","0.01","1","5","NONE"
"dbo","SGC_ApplicationItem","2","0.01","1","40","NONE"
"dbo","TichLuy122024","0","0.01","1","185577","NONE"
"dbo","TichLuy102023","0","0.01","1","137400","NONE"
"dbo","Monthly_Promotion112023","0","0.01","1","17429","NONE"
"dbo","SGC_TV_LenVIP_Da_Update","0","0.01","1","24086","NONE"
"dbo","MSmerge_replinfo","1","0.01","1","1","NONE"
"dbo","Monthly_Promotion042025","0","0.01","1","35915","NONE"
"dbo","Monthly_Promotion062025","0","0.01","1","31631","NONE"
"dbo","TichLuy062025","0","0.01","1","172710","NONE"
