"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"ADDWinDSS_PMark","780000","0","NONE","8/8/2011 1:56:19 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ADMMATHEPRICECALOGY_SGC","304","0","NONE","4/16/2012 2:04:58 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AQuaTet_28122012","483416","0","NONE","12/29/2012 4:08:13 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AQuaTet_DatDk","483288","0","NONE","12/29/2012 4:26:15 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ASthi","4","0","NONE","12/18/2012 9:15:44 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CBCNV","5360","0","NONE","4/16/2012 4:13:29 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CBCNV-VIP","3508","0","NONE","4/16/2012 4:13:29 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTDoiCapDo","751","0","NONE","10/4/2011 9:01:59 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTDonDatHang","6","0","NONE","11/21/2013 4:59:43 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanQuaTT","0","0","NONE","1/28/2019 10:16:38 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTNhanQuaTT","0","2","NONE","1/28/2019 10:16:38 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhieuQT","1198451","0","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"CTPhieuQT","1198451","2","NONE","1/28/2019 10:16:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ctphieuqt_bk","25617","0","NONE","12/4/2012 11:02:36 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"DANHSACH_QUATET","1","1","NONE","11/7/2012 9:01:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"DoiCapDo","1","1","NONE","10/4/2011 9:43:09 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"DonDatHang","0","0","NONE","8/1/2025 10:35:11 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"dot1_12","10000","0","NONE","7/1/2011 10:49:42 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"HDD","1","0","NONE","12/17/2012 11:09:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"History_XemBaoCao","152","1","NONE","2/23/2011 2:01:29 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"KhachHangDangKyMoi","106","0","NONE","10/11/2017 2:01:56 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"KhachHangLenCapDo","31","0","NONE","10/11/2017 2:01:56 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"LichSuCapTheTT","2560291","1","NONE","1/28/2019 10:16:40 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"LichSuCapTheTT","2560291","2","NONE","1/28/2019 10:16:40 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"LOAI_DMKH_DOT1","483208","0","NONE","6/29/2011 9:39:09 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"LOAI_DMKH_DOT1_1den12","120000","0","NONE","7/1/2011 10:39:17 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion012022","3","0","NONE","2/1/2022 5:02:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion012023","7742","0","NONE","2/1/2023 5:00:28 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion012024","58","0","NONE","2/1/2024 5:00:28 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion012025","32083","0","NONE","2/1/2025 5:00:25 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion022022","16139","0","NONE","3/1/2022 5:01:48 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion022023","33350","0","NONE","3/1/2023 5:00:25 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion022024","58","0","NONE","3/1/2024 5:00:22 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion022025","26088","0","NONE","3/1/2025 5:00:22 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion032013","18811","0","NONE","4/4/2013 2:49:12 PM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion032022","43827","0","NONE","4/1/2022 5:02:30 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion032023","27794","0","NONE","4/1/2023 5:00:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion032024","11629","0","NONE","4/1/2024 5:00:30 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion032025","20820","0","NONE","4/1/2025 5:00:27 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion042022","33703","0","NONE","5/1/2022 5:02:25 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion042023","24709","0","NONE","5/1/2023 5:00:27 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion042024","40831","0","NONE","5/1/2024 5:00:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion042025","35915","0","NONE","5/1/2025 5:00:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion052022","43493","0","NONE","6/1/2022 5:02:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion052023","11707","0","NONE","6/1/2023 5:00:28 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion052024","26796","0","NONE","6/1/2024 5:00:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion052025","29250","0","NONE","6/1/2025 5:00:27 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062022","23408","0","NONE","7/1/2022 5:02:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062023","5","0","NONE","7/1/2023 5:00:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062024","31749","0","NONE","7/1/2024 5:00:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062025","31631","0","NONE","7/1/2025 5:00:24 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion072022","36491","0","NONE","8/1/2022 5:02:47 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
