"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.MSmerge_genhistory","USER_TABLE","nc4MSmerge_genhistory","12/10/2025 11:04:39 PM","False","False","False","False","False","1245","20"
"dbo.MSmerge_sessions","USER_TABLE","nc4MSmerge_sessions","12/10/2025 10:49:38 PM","False","False","False","False","False","11","2"
"dbo.MSmerge_genhistory","USER_TABLE","nc2MSmerge_genhistory","12/9/2025 11:34:43 PM","False","False","False","False","False","1245","24"
"dbo.MSmerge_contents","USER_TABLE","nc3MSmerge_contents","12/8/2025 11:34:00 PM","False","False","False","False","False","9580","112"
"dbo.MSmerge_contents","USER_TABLE","nc4MSmerge_contents","12/8/2025 11:34:00 PM","False","False","False","False","False","9580","117"
"dbo.MSmerge_contents","USER_TABLE","uc1SycContents","12/8/2025 11:34:00 PM","False","False","False","False","False","9580","245"
"dbo.MSmerge_contents","USER_TABLE","nc2MSmerge_contents","12/8/2025 11:34:00 PM","False","False","False","False","False","9580","117"
"dbo.MSmerge_history","USER_TABLE","nc1MSmerge_history","12/8/2025 10:49:00 PM","False","False","False","False","False","70","4"
"dbo.MSmerge_sessions","USER_TABLE","nc3MSmerge_sessions","12/8/2025 10:49:00 PM","False","False","False","False","False","11","2"
"dbo.MSmerge_genhistory","USER_TABLE","unc1MSmerge_genhistory","12/7/2025 10:49:36 PM","False","False","False","False","False","1245","119"
"dbo.MSmerge_genhistory","USER_TABLE","c1MSmerge_genhistory","12/7/2025 10:49:36 PM","False","False","False","False","False","1245","28"
"dbo.MSmerge_history","USER_TABLE","ucMSmerge_history","12/7/2025 10:49:34 PM","False","False","False","False","False","70","7"
"dbo.MSmerge_history","USER_TABLE","nc2MSmerge_history","12/5/2025 11:19:35 PM","False","False","False","False","False","70","4"
"dbo.MSmerge_sessions","USER_TABLE","ucMSmerge_sessions","11/14/2025 11:34:33 PM","False","False","False","False","False","11","2"
"dbo.MSmerge_articlehistory","USER_TABLE","nc1MSmerge_articlehistory","11/12/2025 10:34:30 PM","False","False","False","False","False","5","2"
"dbo.MSmerge_articlehistory","USER_TABLE","ucMSmerge_articlehistory","11/6/2025 11:04:28 PM","False","False","False","False","False","5","2"
"dbo.MSmerge_sessions","USER_TABLE","nc2MSmerge_sessions","10/27/2025 10:34:20 PM","False","False","False","False","False","11","2"
"dbo.MSmerge_sessions","USER_TABLE","nc1MSmerge_sessions","10/27/2025 10:34:20 PM","False","False","False","False","False","11","2"
"dbo.LichSuCapTheTT","USER_TABLE","PK_LichSuCapTheTT","8/23/2025 10:48:45 PM","False","False","False","False","False","2560291","51988"
"dbo.LichSuCapTheTT","USER_TABLE","MSmerge_index_1033770740","8/14/2025 10:33:31 PM","False","False","False","False","False","2560291","10376"
"dbo.sysmergepublications","USER_TABLE","nc2sysmergepublications","3/25/2019 11:29:52 AM","False","False","False","False","False","12","2"
"dbo.sysmergepartitioninfo","USER_TABLE","uc1sysmergepartitioninfo","1/28/2019 10:17:32 AM","False","False","False","False","False","8","2"
"dbo.SGC_Feedback","USER_TABLE","MSmerge_index_69575286","1/28/2019 10:17:31 AM","False","False","False","False","False","84","2"
"dbo.SGC_DocumentIssue","USER_TABLE","MSmerge_index_37575172","1/28/2019 10:17:31 AM","False","False","False","False","False","155","4"
"dbo.SGC_DocumentDetail","USER_TABLE","MSmerge_index_5575058","1/28/2019 10:17:31 AM","False","False","False","False","False","175","5"
"dbo.SGC_Attachment","USER_TABLE","MSmerge_index_2105058535","1/28/2019 10:17:31 AM","False","False","False","False","False","1","2"
"dbo.SGC_ApplicationItem","USER_TABLE","MSmerge_index_2073058421","1/28/2019 10:17:31 AM","False","False","False","False","False","40","2"
"dbo.CTPhieuQT","USER_TABLE","MSmerge_index_876582211","1/28/2019 10:17:31 AM","False","False","False","False","False","1198451","8675"
"dbo.sysmergearticles","USER_TABLE","nc3sysmergearticles","1/28/2019 10:16:38 AM","False","False","False","False","False","8","2"
