"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"sysmergesubscriptions","uc1sysmergesubscriptions","1","25377","62556","21","87954","15075","CLUSTERED","0","False","","12/10/2025 11:49:42 PM","12/7/2025 10:49:36 PM","12/10/2025 11:49:43 PM"
"MSmerge_genhistory","c1MSmerge_genhistory","1","35401","6314","28094","69809","51991","CLUSTERED","0","False","","12/10/2025 11:49:42 PM","12/10/2025 11:49:42 PM","12/10/2025 11:49:42 PM"
"sysmergepublications","","0","0","53312","8521","61833","0","HEAP","0","False","","12/10/2025 11:49:42 PM","12/10/2025 11:49:42 PM",""
"MSmerge_sessions","ucMSmerge_sessions","1","29294","28367","0","57661","25868","CLUSTERED","0","False","","12/10/2025 11:49:43 PM","","12/10/2025 11:49:43 PM"
"MSmerge_genhistory","unc1MSmerge_genhistory","2","47675","0","0","47675","25436","NONCLUSTERED","0","False","","","","12/10/2025 11:49:42 PM"
"sysmergearticles","uc1sysmergearticles","1","2282","35800","0","38082","210","CLUSTERED","0","False","","12/10/2025 11:49:42 PM","","12/10/2025 11:49:42 PM"
"MSmerge_contents","nc2MSmerge_contents","2","35104","28","0","35132","6051","NONCLUSTERED","0","False","","12/7/2025 10:49:36 PM","","12/10/2025 11:49:42 PM"
"MSmerge_tombstone","nc2MSmerge_tombstone","2","34787","63","0","34850","262","NONCLUSTERED","0","False","","9/10/2025 11:33:49 PM","","12/10/2025 11:49:37 PM"
"sysmergearticles","nc1sysmergearticles","2","23841","210","0","24051","0","NONCLUSTERED","0","False","","12/10/2025 11:49:42 PM","","12/10/2025 11:49:42 PM"
"MSmerge_genhistory","nc2MSmerge_genhistory","3","20852","0","0","20852","51991","NONCLUSTERED","0","False","","","","12/10/2025 11:49:42 PM"
"MSmerge_metadataaction_request","ucMSmerge_metadataaction_request","1","16466","676","0","17142","5801","CLUSTERED","0","False","","12/10/2025 11:49:37 PM","","12/10/2025 11:49:36 PM"
"MSmerge_history","nc1MSmerge_history","2","14587","717","0","15304","14119","NONCLUSTERED","0","False","","12/8/2025 11:49:00 PM","","12/10/2025 11:49:43 PM"
"MSmerge_history","ucMSmerge_history","1","14331","0","0","14331","14119","CLUSTERED","0","False","","","","12/10/2025 11:49:43 PM"
"MSmerge_past_partition_mappings","nc2MSmerge_past_partition_mappings","3","12604","0","0","12604","210","NONCLUSTERED","0","False","","","","12/10/2025 11:49:37 PM"
"MSmerge_contents","nc3MSmerge_contents","4","9480","0","0","9480","6051","NONCLUSTERED","0","False","","","","12/10/2025 11:49:36 PM"
"MSmerge_tombstone","uc1MSmerge_tombstone","1","8774","0","0","8774","262","CLUSTERED","0","False","","","","12/10/2025 11:49:42 PM"
"sysmergepublications","nc1sysmergepublications","2","8521","0","0","8521","0","NONCLUSTERED","0","False","","","","12/10/2025 11:49:42 PM"
"MSmerge_contents","uc1SycContents","1","8401","0","72","8473","6091","CLUSTERED","0","False","","","11/22/2025 10:34:28 PM","12/10/2025 11:49:42 PM"
"MSmerge_articlehistory","ucMSmerge_articlehistory","1","8179","0","0","8179","4446","CLUSTERED","0","False","","","","12/10/2025 11:49:43 PM"
"MSmerge_current_partition_mappings","cMSmerge_current_partition_mappings","1","5618","0","0","5618","210","CLUSTERED","0","False","","","","12/10/2025 11:49:42 PM"
"MSmerge_replinfo","uc1MSmerge_replinfo","1","4740","0","0","4740","2370","CLUSTERED","0","False","","","","12/10/2025 11:49:43 PM"
"MSmerge_altsyncpartners","uciMSmerge_altsyncpartners","1","1185","2370","0","3555","0","CLUSTERED","0","False","","12/10/2025 11:49:36 PM","","12/10/2025 11:49:36 PM"
"MSmerge_past_partition_mappings","cMSmerge_past_partition_mappings","1","3170","0","0","3170","210","CLUSTERED","0","False","","","","12/10/2025 11:49:42 PM"
"LichSuCapTheTT","MSmerge_index_1033770740","2","2499","0","0","2499","5841","NONCLUSTERED","0","False","","","","12/10/2025 11:34:44 PM"
"sysmergepartitioninfo","uc1sysmergepartitioninfo","1","224","1619","0","1843","0","CLUSTERED","0","False","","12/10/2025 11:49:42 PM","","12/10/2025 11:49:42 PM"
"MSmerge_genhistory","nc4MSmerge_genhistory","4","0","1185","0","1185","49454","NONCLUSTERED","0","False","","12/10/2025 11:49:36 PM","",""
"MSrepl_errors","nc1MSrepl_errors","2","1185","0","0","1185","1185","NONCLUSTERED","0","False","","","","12/10/2025 11:49:37 PM"
"sysmergesubscriptions","nc2sysmergesubscriptions","3","0","1185","0","1185","0","NONCLUSTERED","0","False","","12/10/2025 11:49:37 PM","",""
"sysmergesubsetfilters","uc2sysmergesubsetfilters","1","0","1185","0","1185","0","CLUSTERED","0","False","","12/10/2025 11:49:37 PM","",""
