"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"MSmerge_genhistory","c1MSmerge_genhistory","1","51991","69809","CLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_genhistory","nc2MSmerge_genhistory","3","51991","20852","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_genhistory","nc4MSmerge_genhistory","4","49454","1185","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_sessions","ucMSmerge_sessions","1","25868","57661","CLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_sessions","nc4MSmerge_sessions","5","25868","0","NONCLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_genhistory","unc1MSmerge_genhistory","2","25436","47675","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"sysmergesubscriptions","uc1sysmergesubscriptions","1","15075","87954","CLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_history","ucMSmerge_history","1","14119","14331","CLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_history","nc1MSmerge_history","2","14119","15304","NONCLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_history","nc2MSmerge_history","3","14119","0","NONCLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_sessions","nc3MSmerge_sessions","4","12934","0","NONCLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_generation_partition_mappings","cMSmerge_generation_partition_mappings","1","11026","0","CLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_generation_partition_mappings","nc1MSmerge_generation_partition_mappings","2","11026","1050","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_contents","uc1SycContents","1","6091","8473","CLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_contents","nc2MSmerge_contents","2","6051","35132","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_contents","nc4MSmerge_contents","3","6051","40","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"MSmerge_contents","nc3MSmerge_contents","4","6051","9480","NONCLUSTERED","0","False","","","12/10/2025 11:49:42 PM"
"LichSuCapTheTT","PK_LichSuCapTheTT","1","5841","115","CLUSTERED","0","False","","","12/10/2025 11:34:44 PM"
"LichSuCapTheTT","MSmerge_index_1033770740","2","5841","2499","NONCLUSTERED","0","False","","","12/10/2025 11:34:44 PM"
"MSmerge_metadataaction_request","ucMSmerge_metadataaction_request","1","5801","17142","CLUSTERED","0","False","","","12/10/2025 11:34:44 PM"
"MSmerge_articlehistory","ucMSmerge_articlehistory","1","4446","8179","CLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_replinfo","uc1MSmerge_replinfo","1","2370","4740","CLUSTERED","0","False","","","12/10/2025 11:49:43 PM"
"MSmerge_sessions","nc1MSmerge_sessions","2","2370","0","NONCLUSTERED","0","False","","","12/10/2025 11:49:37 PM"
"MSmerge_sessions","nc2MSmerge_sessions","3","2370","0","NONCLUSTERED","0","False","","","12/10/2025 11:49:37 PM"
"MSmerge_articlehistory","nc1MSmerge_articlehistory","2","1898","713","NONCLUSTERED","0","False","","","12/10/2025 11:49:37 PM"
