"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select top 1 substring(convert(nvarchar(22),backup","82","902000","11000","14754469","179932","14915895","181901","0","12/11/2025 11:41:07 AM"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","8190","105","418546","5365","420030","5385","0","12/11/2025 11:53:08 AM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","28","56","2","2829","101","2833","101","0","12/11/2025 2:25:29 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","28","310","11","10435","372","10439","372","0","12/11/2025 2:25:29 PM"
"select ISNULL(CAST(page_verify_option AS int), -3)","28","198","7","8156","291","8158","291","0","12/11/2025 2:25:29 PM"
"select physical_name, 'usage' = (case type when 1 ","28","56","2","2529","90","2531","90","0","12/11/2025 2:25:29 PM"
"select count(*) from ""SGCReport_2016_2021"".sys.obj","28","1344","48","64625","2308","64630","2308","0","12/11/2025 2:25:29 PM"
"select name, dbid, chsuid=substring(suser_sname(si","28","56","2","3739","133","3742","133","0","12/11/2025 2:25:29 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","28","3136","112","11925","425","11931","426","0","12/11/2025 2:25:29 PM"
"select file_id, file_guid, size, max_size, growth,","28","56","2","5814","207","5817","207","0","12/11/2025 2:25:29 PM"
"select data_space_id, reservedpages = sum(a.total_","28","34860","1245","227588","8128","227599","8128","0","12/11/2025 2:25:29 PM"
"select ISNULL(mirroring_role,0) from sys.database_","28","56","2","1576","56","1581","56","0","12/11/2025 2:25:29 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","28","56","2","2041","72","2046","73","0","12/11/2025 2:25:29 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","28","168","6","5858","209","5863","209","0","12/11/2025 2:25:29 PM"
