"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","Hieu_WinDSS2011","2918568","NONE"
"dbo","MonthlySelling_Report062021","1208033","NONE"
"dbo","MonthlySelling_Report052021","1175136","NONE"
"dbo","1SGC_TheoDoiSoGia","1120239","NONE"
"dbo","MonthlySelling_Report072021","1028336","NONE"
"dbo","MonthlySelling_Report032020","968747","NONE"
"dbo","MonthlySelling_Report042021","947766","NONE"
"dbo","MonthlySelling_Report082020","905184","NONE"
"dbo","MonthlySelling_Report032021","902666","NONE"
"dbo","MonthlySelling_Report012021","895696","NONE"
"dbo","MonthlySelling_Report112020","894940","NONE"
"dbo","MonthlySelling_Report102020","894799","NONE"
"dbo","MonthlySelling_Report092020","846306","NONE"
"dbo","MonthlySelling_Report112019","838516","NONE"
"dbo","MonthlySelling_Report072020","833987","NONE"
"dbo","MonthlySelling_Report102019","829540","NONE"
"dbo","MonthlySelling_Report112021","819203","NONE"
"dbo","MonthlySelling_Report042020","804865","NONE"
"dbo","MonthlySelling_Report022020","801454","NONE"
"dbo","MonthlySelling_Report082019","794625","NONE"
"dbo","MonthlySelling_Report052020","794597","NONE"
"dbo","MonthlySelling_Report102021","793663","NONE"
"dbo","MonthlySelling_Report062020","782424","NONE"
"dbo","MonthlySelling_Report092019","780382","NONE"
"dbo","MonthlySelling_Report072019","748828","NONE"
"dbo","MonthlySelling_Report052019","722517","NONE"
"dbo","MonthlySelling_Report012020","716571","NONE"
"dbo","MonthlySelling_Report022021","714463","NONE"
"dbo","MonthlySelling_Report032019","696764","NONE"
"dbo","MonthlySelling_Report042019","695549","NONE"
"dbo","MonthlySelling_Report082018","690442","NONE"
"dbo","MonthlySelling_Report012019","689265","NONE"
"dbo","MonthlySelling_Report062019","688134","NONE"
"dbo","1SGC_SG_TVVIP","678559","NONE"
"dbo","MonthlySelling_Report092018","666731","NONE"
"dbo","MonthlySelling_Report112018","652433","NONE"
"dbo","MonthlySelling_Report072018","648052","NONE"
"dbo","MonthlySelling_Report102018","634443","NONE"
