"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"_TichLuy102012","35362","0","NONE","7/15/2025 11:02:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"10000_The_Moi_Kieu_121011","100000","0","NONE","7/15/2025 11:02:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"100000__KieuThang122011","100000","0","NONE","7/15/2025 11:02:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"100k_kieu_add_110612","100000","0","NONE","7/15/2025 11:02:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"1SGC_POLLC0","7","0","NONE","7/15/2025 11:02:12 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"1SGC_POLLC8","0","0","NONE","7/15/2025 11:02:16 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"1SGC_SG_TVVIP","678559","0","NONE","7/15/2025 11:02:16 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"1SGC_TheoDoiSoGia","1120239","0","NONE","7/15/2025 11:02:16 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"50000Kieu_add_Thang022012","50000","0","NONE","7/15/2025 11:02:16 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"50k_kieu_add_010612","50000","0","NONE","7/15/2025 11:02:16 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"50k_kieu_add_030712","50000","0","NONE","7/15/2025 11:02:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"50k_kieu_add_080312","50000","0","NONE","7/15/2025 11:02:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"50K_Kieu5700001_5750000_030512","50000","0","NONE","7/15/2025 11:02:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"ADD_Kieu_3008_50K","50000","0","NONE","7/15/2025 11:02:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Add_SCM","50000","0","NONE","7/15/2025 11:02:26 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AddKieu50K","50000","0","NONE","7/15/2025 11:02:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012016","4","0","NONE","7/15/2025 11:05:52 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012017","4","0","NONE","7/15/2025 11:05:52 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012018","2391","0","NONE","7/15/2025 11:05:52 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012019","4652","0","NONE","7/15/2025 11:05:52 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012020","10030","0","NONE","7/15/2025 11:05:52 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012021","40136","0","NONE","7/15/2025 11:05:56 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012022","48117","0","NONE","7/15/2025 11:05:56 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"AllCustomer_Data012023","26856","0","NONE","7/15/2025 11:05:56 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
