"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"TichLuy022013","","0","0","0","0","0","4","HEAP","0","False","","","",""
"Monthly_Promotion032018","","0","0","0","0","0","88","HEAP","0","False","","","",""
"1SGC_SG_TVVIP","","0","0","0","0","0","70","HEAP","0","False","","","",""
"TichLuy022014","","0","0","0","0","0","4","HEAP","0","False","","","",""
"Monthly_Promotion032019","","0","0","0","0","0","131","HEAP","0","False","","","",""
"1SGC_TheoDoiSoGia","","0","0","0","0","0","114","HEAP","0","False","","","",""
"TichLuy022015","","0","0","0","0","0","4","HEAP","0","False","","","",""
"Monthly_Promotion032020","","0","0","0","0","0","268","HEAP","0","False","","","",""
"50000Kieu_add_Thang022012","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy022016","","0","0","0","0","0","1","HEAP","0","False","","","",""
"Monthly_Promotion032021","","0","0","0","0","0","185","HEAP","0","False","","","",""
"50k_kieu_add_010612","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy022017","","0","0","0","0","0","1","HEAP","0","False","","","",""
"Monthly_Promotion042016","","0","0","0","0","0","23","HEAP","0","False","","","",""
"50k_kieu_add_030712","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy022018","","0","0","0","0","0","1","HEAP","0","False","","","",""
"Monthly_Promotion042017","","0","0","0","0","0","38","HEAP","0","False","","","",""
"50k_kieu_add_080312","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy022019","","0","0","0","0","0","2","HEAP","0","False","","","",""
"Monthly_Promotion042018","","0","0","0","0","0","53","HEAP","0","False","","","",""
"50K_Kieu5700001_5750000_030512","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy022020","","0","0","0","0","0","5","HEAP","0","False","","","",""
"Monthly_Promotion042019","","0","0","0","0","0","166","HEAP","0","False","","","",""
"ADD_Kieu_3008_50K","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy022021","","0","0","0","0","0","17","HEAP","0","False","","","",""
"Monthly_Promotion042020","","0","0","0","0","0","126","HEAP","0","False","","","",""
"Add_SCM","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy032013","","0","0","0","0","0","4","HEAP","0","False","","","",""
"Monthly_Promotion042021","","0","0","0","0","0","77","HEAP","0","False","","","",""
"AddKieu50K","","0","0","0","0","0","17","HEAP","0","False","","","",""
"TichLuy032014","","0","0","0","0","0","4","HEAP","0","False","","","",""
"Monthly_Promotion052016","","0","0","0","0","0","113","HEAP","0","False","","","",""
